team,team_id,year,conference,games_played,expected_wins,wins,losses,home_wins,home_losses,away_wins,away_losses
Louisiana Monroe,2433,2016,Sun Belt,12,4.1,4,8,3,2,1,6
Louisiana Tech,2348,2016,Conference USA,14,9.1,9,5,5,0,3,5
Louisville,97,2016,ACC,13,9.8,9,4,5,1,4,2
LSU,99,2016,SEC,12,9.3,8,4,5,2,2,1
Marshall,276,2016,Conference USA,12,3.1,3,9,3,4,0,5
Maryland,120,2016,Big Ten,13,5.4,6,7,4,2,2,4
Memphis,235,2016,American Athletic,13,6.8,8,5,5,2,3,2
Miami,2390,2016,ACC,13,9.9,9,4,4,2,4,2
Miami (OH),193,2016,Mid-American,13,7.4,6,7,3,3,3,3
Michigan,130,2016,Big Ten,13,10.6,10,3,8,0,2,2
Michigan State,127,2016,Big Ten,12,4.8,3,9,2,5,1,4
Middle Tennessee,2393,2016,Conference USA,13,7.6,8,5,3,2,5,2
Minnesota,135,2016,Big Ten,13,9.1,9,4,6,1,2,3
Mississippi State,344,2016,SEC,13,5.4,6,7,3,3,2,4
Missouri,142,2016,SEC,12,5.1,4,8,4,3,0,5
Navy,2426,2016,American Athletic,14,7.9,9,5,5,1,3,2
NC State,152,2016,ACC,13,7.8,7,6,4,3,2,3
Nebraska,158,2016,Big Ten,13,8.3,9,4,7,0,2,3
Nevada,2440,2016,Mountain West,12,4.4,5,7,4,2,1,5
New Mexico,167,2016,Mountain West,13,7.2,9,4,5,1,2,3
New Mexico State,166,2016,Sun Belt,12,2.9,3,9,3,2,0,7
North Carolina,153,2016,ACC,13,8.4,8,5,4,2,4,1
Northern Illinois,2459,2016,Mid-American,12,4.3,5,7,2,3,3,3
North Texas,249,2016,Conference USA,13,5.0,5,8,3,3,2,4
Northwestern,77,2016,Big Ten,13,6.7,7,6,3,4,3,2
Notre Dame,87,2016,FBS Independents,12,6.7,4,8,2,4,0,3
Ohio,195,2016,Mid-American,14,9.1,8,6,4,2,4,2
Ohio State,194,2016,Big Ten,13,9.3,11,2,7,0,4,1
Oklahoma,201,2016,Big 12,13,10.5,11,2,5,1,4,0
Oklahoma State,197,2016,Big 12,13,9.8,10,3,6,1,3,2
Old Dominion,295,2016,Conference USA,13,9.4,10,3,6,0,3,3
Ole Miss,145,2016,SEC,12,5.9,5,7,4,3,1,3
Oregon,2483,2016,Pac-12,12,4.4,4,8,3,3,1,5
Oregon State,204,2016,Pac-12,12,4.7,4,8,4,3,0,5
Penn State,213,2016,Big Ten,14,8.7,11,3,7,0,3,2
Pittsburgh,221,2016,ACC,13,8.1,8,5,6,1,2,3
Purdue,2509,2016,Big Ten,12,1.9,3,9,2,5,1,4
Rice,242,2016,Conference USA,12,3.6,3,9,2,4,1,5
Rutgers,164,2016,Big Ten,12,3.3,2,10,2,5,0,5
San Diego State,21,2016,Mountain West,14,10.8,11,3,4,1,5,2
San José State,23,2016,Mountain West,12,3.7,4,8,3,3,1,5
SMU,2567,2016,American Athletic,12,5.8,5,7,2,4,3,3
South Alabama,6,2016,Sun Belt,13,6.2,6,7,5,2,1,4
South Carolina,2579,2016,SEC,13,6.6,6,7,5,2,1,4
Southern Mississippi,2572,2016,Conference USA,13,7.9,7,6,4,2,2,4
South Florida,58,2016,American Athletic,13,9.7,11,2,6,1,4,1
Stanford,24,2016,Pac-12,13,8.3,10,3,4,2,5,1
Syracuse,183,2016,ACC,12,4.5,4,8,2,4,2,3
TCU,2628,2016,Big 12,13,6.4,6,7,2,5,4,1
Temple,218,2016,American Athletic,14,11.3,10,4,6,1,4,2
Tennessee,2633,2016,SEC,13,8.0,9,4,6,1,1,3
Texas,251,2016,Big 12,12,5.7,5,7,4,2,1,4
Texas A&M,245,2016,SEC,13,8.4,8,5,5,2,2,2
Texas State,326,2016,Sun Belt,12,1.2,2,10,1,5,1,5
Texas Tech,2641,2016,Big 12,12,5.4,5,7,3,3,1,4
Toledo,2649,2016,Mid-American,13,10.2,9,4,5,1,3,2
Troy,2653,2016,Sun Belt,13,8.8,10,3,5,1,4,2
Tulane,2655,2016,American Athletic,12,4.2,4,8,2,4,2,4
Tulsa,202,2016,American Athletic,13,10.0,10,3,6,0,3,3
UCF,2116,2016,American Athletic,13,6.7,6,7,3,4,3,3
UCLA,26,2016,Pac-12,12,6.5,4,8,3,3,1,5
UMass,113,2016,FBS Independents,12,2.2,2,10,2,4,0,6
UNLV,2439,2016,Mountain West,12,4.4,4,8,2,3,1,5
USC,30,2016,Pac-12,13,9.9,10,3,6,0,3,2
Utah,254,2016,Pac-12,13,6.8,9,4,4,2,4,2
Utah State,328,2016,Mountain West,12,5.0,3,9,3,3,0,6
UTEP,2638,2016,Conference USA,12,3.3,4,8,3,4,1,4
UT San Antonio,2636,2016,Conference USA,13,6.4,6,7,4,2,2,4
Vanderbilt,238,2016,SEC,13,4.5,6,7,4,2,2,4
Virginia,258,2016,ACC,12,2.6,2,10,1,5,1,5
Virginia Tech,259,2016,ACC,14,9.3,10,4,5,1,4,1
Wake Forest,154,2016,ACC,13,6.6,7,6,4,3,2,3
Washington,264,2016,Pac-12,14,11.8,12,2,6,1,5,0
Washington State,265,2016,Pac-12,13,7.8,8,5,5,2,3,2
Western Kentucky,98,2016,Conference USA,14,10.4,11,3,6,1,4,2
Western Michigan,2711,2016,Mid-American,14,11.9,13,1,6,0,6,0
West Virginia,277,2016,Big 12,13,8.8,10,3,6,1,3,1
Wisconsin,275,2016,Big Ten,14,10.6,11,3,5,1,4,1
Wyoming,2751,2016,Mountain West,14,7.1,8,6,6,1,2,4
Air Force,2005,2017,Mountain West,12,4.4,5,7,3,3,2,4
Akron,2006,2017,Mid-American,14,5.3,7,7,5,1,2,5
Alabama,333,2017,SEC,14,12.8,13,1,7,0,3,1
Appalachian State,2026,2017,Sun Belt,13,9.4,9,4,5,1,3,3
Arizona,12,2017,Pac-12,13,7.2,7,6,4,2,3,3
Arizona State,9,2017,Pac-12,13,7.7,7,6,5,2,2,3
Arkansas,8,2017,SEC,12,4.8,4,8,2,4,1,3
Arkansas State,2032,2017,Sun Belt,12,9.4,7,5,4,1,3,3
Army,349,2017,FBS Independents,13,9.6,10,3,6,0,2,3
Auburn,2,2017,SEC,14,9.7,10,4,7,0,3,2
Ball State,2050,2017,Mid-American,12,2.4,2,10,2,4,0,6
Baylor,239,2017,Big 12,12,3.0,1,11,0,6,1,4
Boise State,68,2017,Mountain West,14,10.9,11,3,6,1,4,2
Boston College,103,2017,ACC,13,6.9,7,6,2,4,4,1
Bowling Green,189,2017,Mid-American,12,2.5,2,10,0,5,2,5
Buffalo,2084,2017,Mid-American,12,6.9,6,6,4,2,2,4
BYU,252,2017,FBS Independents,13,4.1,4,9,2,4,2,4
California,25,2017,Pac-12,12,5.4,5,7,4,2,1,5
Central Michigan,2117,2017,Mid-American,13,6.7,8,5,3,2,5,2
Charlotte,2429,2017,Conference USA,12,0.5,1,11,1,5,0,6
Cincinnati,2132,2017,American Athletic,12,4.0,4,8,2,4,2,4
Clemson,228,2017,ACC,14,11.5,12,2,7,0,4,1
Coastal Carolina,324,2017,Sun Belt,12,3.7,3,9,2,4,1,5
Colorado,38,2017,Pac-12,12,4.9,5,7,3,3,1,4
