team,year,rank,points,talent_level,blue_chip,total,blue_sums,total_sums,blue_chip_ratio
Florida,2010,1,324.62,298.59000000000003,22.0,28.0,64.0,83.0,0.7710843373493976
Texas,2010,2,312.07,288.4725,21.0,24.0,67.0,88.0,0.7613636363636364
USC,2010,3,294.73,292.35249999999996,15.0,17.0,57.0,70.0,0.8142857142857143
Alabama,2010,4,284.2,276.555,14.0,22.0,61.0,100.0,0.61
Oklahoma,2010,5,283.58,262.9475,17.0,30.0,46.0,88.0,0.5227272727272727
Auburn,2010,6,277.2,244.2175,12.0,28.0,29.0,102.0,0.28431372549019607
Tennessee,2010,7,271.56,255.9975,11.0,23.0,32.0,85.0,0.3764705882352941
Florida State,2010,8,271.41,251.96,10.0,26.0,38.0,83.0,0.4578313253012048
LSU,2010,9,267.84,275.72749999999996,14.0,26.0,54.0,97.0,0.5567010309278351
UCLA,2010,10,263.81,219.88,11.0,23.0,38.0,75.0,0.5066666666666667
Georgia,2010,11,259.87,268.845,8.0,18.0,44.0,79.0,0.5569620253164557
Oregon,2010,12,250.88,223.3175,10.0,20.0,22.0,80.0,0.275
Penn State,2010,13,249.63,214.01,13.0,18.0,29.0,69.0,0.42028985507246375
Miami,2010,14,249.55,257.625,8.0,27.0,42.0,89.0,0.47191011235955055
Notre Dame,2010,15,241.92,264.4575,7.0,24.0,49.0,81.0,0.6049382716049383
Texas A&M,2010,16,240.98,215.1825,8.0,23.0,21.0,81.0,0.25925925925925924
Michigan,2010,17,237.54,251.155,7.0,28.0,41.0,92.0,0.44565217391304346
Ohio State,2010,18,237.38,229.82999999999998,10.0,16.0,44.0,61.0,0.7213114754098361
Washington,2010,19,234.35,199.8225,7.0,31.0,13.0,91.0,0.14285714285714285
California,2010,20,233.8,214.1475,9.0,17.0,20.0,73.0,0.273972602739726
Missouri,2010,21,229.0,210.79500000000002,6.0,24.0,12.0,91.0,0.13186813186813187
Michigan State,2010,22,225.56,200.3425,6.0,25.0,15.0,86.0,0.1744186046511628
North Carolina,2010,23,224.64,233.155,5.0,19.0,29.0,77.0,0.37662337662337664
Ole Miss,2010,24,223.7,222.41,4.0,21.0,13.0,92.0,0.14130434782608695
Stanford,2010,25,223.33,198.6625,4.0,22.0,14.0,80.0,0.175
Nebraska,2010,26,219.7,213.7525,4.0,18.0,14.0,85.0,0.16470588235294117
Clemson,2010,27,218.08,229.69000000000003,5.0,23.0,27.0,79.0,0.34177215189873417
Virginia Tech,2010,28,214.01,217.965,3.0,17.0,12.0,90.0,0.13333333333333333
Oklahoma State,2010,29,213.1,208.87,4.0,27.0,12.0,87.0,0.13793103448275862
Mississippi State,2010,30,212.47,201.435,4.0,24.0,14.0,85.0,0.16470588235294117
Pittsburgh,2010,31,212.43,212.7525,2.0,21.0,14.0,79.0,0.17721518987341772
West Virginia,2010,32,211.69,204.2625,4.0,17.0,12.0,82.0,0.14634146341463414
BYU,2010,33,211.56,184.5325,3.0,26.0,6.0,83.0,0.07228915662650602
South Carolina,2010,34,210.39,235.0475,4.0,20.0,25.0,85.0,0.29411764705882354
NC State,2010,35,208.25,196.19,4.0,16.0,9.0,80.0,0.1125
Iowa,2010,36,208.14,185.8075,4.0,21.0,9.0,85.0,0.10588235294117647
Texas Tech,2010,37,207.32,178.99,2.0,27.0,6.0,82.0,0.07317073170731707
Baylor,2010,38,206.15,168.8775,2.0,23.0,5.0,73.0,0.0684931506849315
Maryland,2010,39,205.67,200.1575,3.0,21.0,15.0,82.0,0.18292682926829268
Arizona State,2010,40,203.28,207.02,0.0,20.0,10.0,80.0,0.125
Arkansas,2010,41,203.21,210.04500000000002,3.0,25.0,13.0,97.0,0.13402061855670103
Utah,2010,42,202.2,175.29500000000002,0.0,17.0,2.0,62.0,0.03225806451612903
Georgia Tech,2010,43,201.21,199.1625,4.0,19.0,13.0,78.0,0.16666666666666666
Louisville,2010,44,197.18,178.23000000000002,3.0,22.0,4.0,65.0,0.06153846153846154
Boston College,2010,45,196.9,180.4475,4.0,20.0,8.0,78.0,0.10256410256410256
Wisconsin,2010,46,194.33,196.13,1.0,25.0,8.0,86.0,0.09302325581395349
TCU,2010,47,192.08,169.375,2.0,18.0,4.0,74.0,0.05405405405405406
Southern Mississippi,2010,48,191.15,179.835,0.0,22.0,3.0,82.0,0.036585365853658534
Kentucky,2010,49,190.83,140.695,1.0,24.0,6.0,63.0,0.09523809523809523
UCF,2010,50,189.21,167.29000000000002,2.0,24.0,6.0,88.0,0.06818181818181818
Vanderbilt,2010,51,188.39,154.12,1.0,24.0,1.0,71.0,0.014084507042253521
Minnesota,2010,52,186.47,193.76999999999998,1.0,21.0,7.0,79.0,0.08860759493670886
Purdue,2010,53,186.34,167.56,1.0,24.0,1.0,84.0,0.011904761904761904
Rutgers,2010,54,186.09,195.4975,2.0,24.0,10.0,87.0,0.11494252873563218
Houston,2010,55,185.42,153.7325,0.0,26.0,0.0,87.0,0.0
Cincinnati,2010,56,184.21,140.4075,1.0,23.0,3.0,71.0,0.04225352112676056
Colorado,2010,57,183.91,204.10500000000002,2.0,22.0,13.0,85.0,0.15294117647058825
Arizona,2010,58,183.75,182.8825,1.0,19.0,8.0,61.0,0.13114754098360656
South Florida,2010,59,182.46,172.0075,2.0,16.0,4.0,68.0,0.058823529411764705
Syracuse,2010,60,180.14,160.665,0.0,28.0,2.0,83.0,0.024096385542168676
Illinois,2010,61,180.07,206.925,0.0,24.0,15.0,84.0,0.17857142857142858
Oregon State,2010,62,178.62,175.625,2.0,17.0,4.0,78.0,0.05128205128205128
Wake Forest,2010,63,178.48,157.5925,1.0,19.0,1.0,74.0,0.013513513513513514
Kansas,2010,64,177.9,180.45,0.0,18.0,0.0,73.0,0.0
Washington State,2010,65,177.38,163.1475,0.0,21.0,0.0,78.0,0.0
SMU,2010,66,177.12,144.48000000000002,1.0,25.0,2.0,95.0,0.021052631578947368
Northwestern,2010,67,176.85,163.39,0.0,17.0,0.0,74.0,0.0
Iowa State,2010,68,175.2,161.5125,0.0,24.0,3.0,87.0,0.034482758620689655
Fresno State,2010,69,175.17,144.5,0.0,19.0,1.0,81.0,0.012345679012345678
Colorado State,2010,70,172.59,133.9,0.0,28.0,0.0,87.0,0.0
Memphis,2010,71,172.54,142.59,0.0,18.0,0.0,56.0,0.0
Tulsa,2010,72,172.19,150.9575,0.0,21.0,1.0,84.0,0.011904761904761904
Duke,2010,73,171.81,156.4875,0.0,22.0,2.0,85.0,0.023529411764705882
Virginia,2010,74,170.27,186.91750000000002,0.0,17.0,8.0,81.0,0.09876543209876543
San Diego State,2010,75,165.98,139.3675,0.0,20.0,0.0,77.0,0.0
Kansas State,2010,76,164.45,178.375,0.0,13.0,1.0,72.0,0.013888888888888888
Indiana,2010,77,164.39,149.385,0.0,23.0,0.0,75.0,0.0
Marshall,2010,78,164.29,145.9525,0.0,25.0,0.0,81.0,0.0
New Mexico,2010,79,157.08,116.60000000000001,1.0,19.0,1.0,69.0,0.014492753623188406
Hawai'i,2010,80,155.71,145.69,0.0,26.0,0.0,72.0,0.0
Louisiana Tech,2010,81,154.22,140.2125,0.0,15.0,0.0,75.0,0.0
Florida International,2010,82,153.54,130.7725,1.0,18.0,1.0,82.0,0.012195121951219513
East Carolina,2010,83,152.95,128.83499999999998,0.0,15.0,0.0,74.0,0.0
Connecticut,2010,84,151.1,142.7275,0.0,20.0,0.0,87.0,0.0
UTEP,2010,85,150.87,0.0,0.0,22.0,,,0.0
UAB,2010,86,150.49,121.8275,0.0,18.0,0.0,73.0,0.0
Toledo,2010,87,149.24,131.69,0.0,17.0,1.0,74.0,0.013513513513513514
Western Michigan,2010,88,146.63,118.7825,0.0,24.0,0.0,88.0,0.0
Bowling Green,2010,89,146.16,103.275,0.0,26.0,0.0,79.0,0.0
Tulane,2010,90,145.27,119.5725,0.0,25.0,0.0,91.0,0.0
Nevada,2010,91,144.64,116.8875,0.0,19.0,0.0,67.0,0.0
Rice,2010,92,144.16,125.36500000000001,0.0,17.0,0.0,80.0,0.0
Ball State,2010,93,142.28,0.0,0.0,22.0,,,0.0
Arkansas State,2010,94,142.14,95.7325,0.0,18.0,0.0,77.0,0.0
Temple,2010,95,141.31,120.96000000000001,0.0,21.0,0.0,75.0,0.0
San José State,2010,96,140.49,80.59,0.0,20.0,0.0,42.0,0.0
Northern Illinois,2010,98,139.25,103.89750000000001,0.0,22.0,0.0,71.0,0.0
Wyoming,2010,99,138.94,124.77,0.0,15.0,0.0,76.0,0.0
Miami (OH),2010,100,138.32,125.06,0.0,23.0,0.0,86.0,0.0
Kent State,2010,101,138.28,118.14750000000001,0.0,15.0,0.0,76.0,0.0
Akron,2010,102,136.89,124.265,0.0,20.0,0.0,78.0,0.0
UNLV,2010,103,136.45,120.44,0.0,18.0,0.0,67.0,0.0
New Mexico State,2010,104,132.06,99.645,0.0,11.0,0.0,43.0,0.0
Utah State,2010,105,127.94,91.125,0.0,20.0,0.0,68.0,0.0
Central Michigan,2010,106,127.67,115.755,0.0,19.0,0.0,85.0,0.0
Western Kentucky,2010,107,126.31,0.0,0.0,13.0,,,0.0
Buffalo,2010,108,125.67,85.76,0.0,21.0,0.0,76.0,0.0
Troy,2010,109,117.28,142.93,0.0,24.0,0.0,90.0,0.0
Boise State,2010,110,115.97,136.34,0.0,9.0,0.0,70.0,0.0
Eastern Michigan,2010,111,110.9,90.00999999999999,0.0,15.0,0.0,69.0,0.0
Ohio,2010,112,101.59,98.855,0.0,12.0,0.0,63.0,0.0
Army,2010,113,99.95,60.23,0.0,34.0,0.0,86.0,0.0
Middle Tennessee,2010,114,88.46,119.935,0.0,15.0,0.0,79.0,0.0
Louisiana,2010,115,86.44,82.3075,0.0,19.0,0.0,67.0,0.0
Louisiana Monroe,2010,116,85.12,97.095,0.0,16.0,0.0,78.0,0.0
North Texas,2010,117,83.28,116.12,0.0,11.0,0.0,59.0,0.0
Florida Atlantic,2010,118,66.11,0.0,0.0,9.0,,,0.0
Navy,2010,119,38.65,0.0,0.0,4.0,,,0.0
Air Force,2010,120,26.17,44.447500000000005,0.0,2.0,0.0,34.0,0.0
Georgia Southern,2010,121,13.33,0.0,0.0,1.0,,,0.0
Georgia State,2010,125,0.0,0.0,0.0,3.0,,,0.0
Alabama,2011,1,298.5,290.735,16.0,21.0,71.0,100.0,0.71
Florida State,2011,2,297.03,272.0125,14.0,27.0,47.0,97.0,0.4845360824742268
USC,2011,3,286.99,290.33500000000004,16.0,25.0,59.0,77.0,0.7662337662337663
Texas,2011,4,284.05,286.21000000000004,15.0,23.0,66.0,87.0,0.7586206896551724
Auburn,2011,5,281.02,252.33499999999998,15.0,24.0,36.0,100.0,0.36
Ohio State,2011,6,278.47,267.2025,13.0,25.0,52.0,80.0,0.65
Georgia,2011,7,278.18,275.93,11.0,25.0,48.0,86.0,0.5581395348837209
LSU,2011,8,272.65,273.3275,10.0,22.0,50.0,95.0,0.5263157894736842
Notre Dame,2011,9,271.38,263.79,11.0,23.0,48.0,86.0,0.5581395348837209
Clemson,2011,10,269.69,241.745,7.0,28.0,30.0,87.0,0.3448275862068966
Florida,2011,11,258.24,284.88750000000005,11.0,19.0,57.0,79.0,0.7215189873417721
Oregon,2011,12,257.09,230.3975,9.0,21.0,25.0,75.0,0.3333333333333333
Oklahoma,2011,13,256.79,271.995,10.0,17.0,52.0,86.0,0.6046511627906976
Tennessee,2011,14,253.78,248.33749999999998,8.0,25.0,30.0,83.0,0.3614457831325301
California,2011,15,249.7,223.9775,11.0,20.0,28.0,71.0,0.39436619718309857
Nebraska,2011,16,245.6,220.53999999999996,8.0,18.0,19.0,82.0,0.23170731707317074
South Carolina,2011,17,244.09,227.6075,5.0,30.0,19.0,91.0,0.2087912087912088
North Carolina,2011,18,230.93,229.8675,6.0,22.0,27.0,80.0,0.3375
Texas Tech,2011,19,230.54,194.01749999999998,7.0,25.0,13.0,86.0,0.1511627906976744
Ole Miss,2011,20,226.45,223.7125,5.0,20.0,15.0,94.0,0.1595744680851064
Arkansas,2011,21,226.22,219.315,5.0,25.0,17.0,99.0,0.1717171717171717
Stanford,2011,22,221.85,213.3025,6.0,19.0,20.0,80.0,0.25
Virginia,2011,23,220.78,190.24,5.0,25.0,9.0,85.0,0.10588235294117647
Washington,2011,24,219.9,208.6175,4.0,21.0,16.0,88.0,0.18181818181818182
Oklahoma State,2011,25,212.82,209.88,2.0,23.0,11.0,89.0,0.12359550561797752
Iowa,2011,26,208.64,188.005,4.0,25.0,10.0,89.0,0.11235955056179775
Louisville,2011,27,208.34,188.9875,3.0,20.0,6.0,73.0,0.0821917808219178
TCU,2011,28,207.48,182.3225,3.0,25.0,6.0,78.0,0.07692307692307693
Rutgers,2011,29,205.88,197.1225,4.0,20.0,12.0,86.0,0.13953488372093023
Michigan,2011,30,205.16,241.7425,5.0,21.0,40.0,94.0,0.425531914893617
Penn State,2011,31,201.4,218.4475,5.0,16.0,30.0,73.0,0.410958904109589
Michigan State,2011,32,198.83,210.00750000000002,1.0,20.0,15.0,92.0,0.16304347826086957
Miami,2011,33,198.68,248.2675,4.0,15.0,36.0,87.0,0.41379310344827586
Texas A&M,2011,34,193.44,220.6075,4.0,19.0,22.0,88.0,0.25
Virginia Tech,2011,35,190.02,213.4175,3.0,21.0,13.0,86.0,0.1511627906976744
Kentucky,2011,36,184.89,180.8125,2.0,24.0,7.0,86.0,0.08139534883720931
Illinois,2011,37,183.92,199.6925,1.0,28.0,12.0,95.0,0.12631578947368421
Utah,2011,38,182.11,182.985,1.0,14.0,3.0,59.0,0.05084745762711865
Boston College,2011,39,180.89,183.5425,1.0,22.0,8.0,84.0,0.09523809523809523
Kansas,2011,40,178.77,184.19000000000003,0.0,25.0,0.0,79.0,0.0
Mississippi State,2011,41,178.1,197.3,1.0,20.0,13.0,80.0,0.1625
Oregon State,2011,42,175.84,175.1475,0.0,22.0,3.0,75.0,0.04
Georgia Tech,2011,43,174.84,186.5,0.0,22.0,7.0,79.0,0.08860759493670886
Wisconsin,2011,44,174.08,190.165,2.0,21.0,7.0,90.0,0.07777777777777778
UCLA,2011,45,172.23,236.20499999999998,2.0,16.0,36.0,86.0,0.4186046511627907
Baylor,2011,46,169.94,179.20749999999998,1.0,16.0,6.0,78.0,0.07692307692307693
Cincinnati,2011,47,168.77,154.8275,1.0,21.0,4.0,73.0,0.0547945205479452
Arizona,2011,48,166.94,186.15,0.0,18.0,7.0,69.0,0.10144927536231885
Vanderbilt,2011,49,164.0,163.055,1.0,20.0,2.0,77.0,0.025974025974025976
Maryland,2011,50,162.97,191.7975,1.0,19.0,13.0,79.0,0.16455696202531644
Kansas State,2011,51,161.75,171.4625,0.0,19.0,0.0,65.0,0.0
West Virginia,2011,52,160.31,191.76000000000002,0.0,21.0,10.0,81.0,0.12345679012345678
Boise State,2011,53,159.98,138.85,0.0,19.0,0.0,65.0,0.0
UCF,2011,54,158.74,168.43,0.0,20.0,4.0,80.0,0.05
Indiana,2011,55,158.62,158.0675,0.0,22.0,0.0,82.0,0.0
Missouri,2011,56,158.06,200.3525,0.0,13.0,11.0,82.0,0.13414634146341464
Minnesota,2011,57,157.15,191.705,0.0,20.0,6.0,82.0,0.07317073170731707
Syracuse,2011,58,155.37,157.48499999999999,0.0,23.0,2.0,85.0,0.023529411764705882
Iowa State,2011,59,153.86,160.99,0.0,20.0,1.0,85.0,0.011764705882352941
Marshall,2011,60,152.84,148.29,0.0,22.0,0.0,81.0,0.0
Northwestern,2011,61,150.59,159.6225,0.0,16.0,0.0,71.0,0.0
Pittsburgh,2011,62,150.28,196.3025,1.0,19.0,13.0,77.0,0.16883116883116883
Duke,2011,63,149.33,162.2175,0.0,20.0,2.0,85.0,0.023529411764705882
Colorado,2011,64,147.7,189.115,0.0,18.0,11.0,80.0,0.1375
Arizona State,2011,65,146.68,196.7125,0.0,13.0,9.0,75.0,0.12
Wake Forest,2011,66,144.89,160.37,0.0,16.0,1.0,71.0,0.014084507042253521
SMU,2011,67,144.59,151.145,1.0,26.0,2.0,100.0,0.02
Washington State,2011,68,144.31,158.7125,0.0,21.0,0.0,83.0,0.0
BYU,2011,69,143.97,178.3625,0.0,16.0,6.0,77.0,0.07792207792207792
South Florida,2011,70,143.19,169.06,0.0,20.0,4.0,66.0,0.06060606060606061
NC State,2011,71,139.33,189.48250000000002,0.0,18.0,8.0,81.0,0.09876543209876543
East Carolina,2011,72,138.07,133.7325,0.0,22.0,0.0,72.0,0.0
Houston,2011,73,133.64,152.79,0.0,15.0,0.0,80.0,0.0
Toledo,2011,74,132.9,135.515,0.0,18.0,1.0,73.0,0.0136986301369863
Purdue,2011,75,129.88,162.0325,0.0,12.0,1.0,79.0,0.012658227848101266
Colorado State,2011,76,122.79,133.7475,0.0,25.0,0.0,90.0,0.0
Memphis,2011,77,122.48,142.95,0.0,23.0,0.0,63.0,0.0
San Diego State,2011,78,118.44,134.98499999999999,0.0,23.0,0.0,80.0,0.0
Connecticut,2011,79,117.6,134.0,0.0,16.0,0.0,77.0,0.0
Tulsa,2011,80,113.38,149.245,0.0,20.0,1.0,82.0,0.012195121951219513
Tulane,2011,81,110.8,125.9225,0.0,22.0,0.0,90.0,0.0
Western Michigan,2011,82,94.12,120.22,0.0,20.0,0.0,88.0,0.0
Temple,2011,83,93.88,111.52000000000001,0.0,14.0,0.0,69.0,0.0
Louisiana,2011,84,91.52,84.4325,0.0,24.0,0.0,75.0,0.0
Western Kentucky,2011,85,85.81,0.0,0.0,26.0,,,0.0
Southern Mississippi,2011,86,83.64,162.26000000000002,0.0,22.0,2.0,79.0,0.02531645569620253
Navy,2011,87,81.56,51.849999999999994,0.0,19.0,0.0,41.0,0.0
Army,2011,88,77.89,75.8775,0.0,27.0,0.0,107.0,0.0
Air Force,2011,89,77.86,55.905,0.0,24.0,0.0,50.0,0.0
Bowling Green,2011,90,77.59,105.9875,0.0,19.0,0.0,82.0,0.0
South Alabama,2011,91,76.36,0.0,0.0,14.0,,,0.0
Florida International,2011,92,76.24,126.4175,0.0,23.0,1.0,88.0,0.011363636363636364
Central Michigan,2011,93,75.64,114.495,0.0,24.0,0.0,95.0,0.0
Hawai'i,2011,94,73.77,128.9625,0.0,21.0,0.0,80.0,0.0
Northern Illinois,2011,95,67.82,96.5875,0.0,19.0,0.0,72.0,0.0
Ohio,2011,96,67.8,97.8775,0.0,20.0,0.0,64.0,0.0
Rice,2011,97,67.71,114.8,0.0,19.0,0.0,77.0,0.0
Fresno State,2011,98,67.3,129.02249999999998,0.0,16.0,1.0,74.0,0.013513513513513514
Middle Tennessee,2011,99,66.67,110.23499999999999,0.0,17.0,0.0,76.0,0.0
Buffalo,2011,100,61.88,85.8675,0.0,22.0,0.0,80.0,0.0
UAB,2011,101,61.54,116.9175,0.0,20.0,0.0,71.0,0.0
Ball State,2011,102,60.53,99.7225,0.0,19.0,0.0,85.0,0.0
Florida Atlantic,2011,103,60.49,0.0,0.0,24.0,,,0.0
Wyoming,2011,104,59.82,108.52,0.0,19.0,0.0,76.0,0.0
New Mexico,2011,105,57.85,105.06750000000001,0.0,15.0,1.0,68.0,0.014705882352941176
Louisiana Monroe,2011,106,57.72,94.14,0.0,20.0,0.0,74.0,0.0
Miami (OH),2011,107,57.32,107.63250000000001,0.0,19.0,0.0,82.0,0.0
Utah State,2011,108,56.53,86.26249999999999,0.0,10.0,0.0,58.0,0.0
North Texas,2011,109,55.16,103.54,0.0,22.0,0.0,65.0,0.0
UNLV,2011,110,53.88,106.9125,0.0,16.0,0.0,68.0,0.0
Eastern Michigan,2011,111,53.69,86.0875,0.0,11.0,0.0,58.0,0.0
Troy,2011,112,51.83,121.53750000000001,0.0,14.0,0.0,86.0,0.0
Louisiana Tech,2011,113,51.59,121.5225,0.0,14.0,0.0,69.0,0.0
Akron,2011,114,50.3,104.7025,0.0,18.0,0.0,76.0,0.0
Nevada,2011,115,50.28,107.05250000000001,0.0,15.0,0.0,67.0,0.0
San José State,2011,116,48.83,66.775,0.0,17.0,0.0,49.0,0.0
Arkansas State,2011,118,48.25,88.98,0.0,12.0,0.0,64.0,0.0
Kent State,2011,119,45.57,105.64750000000001,0.0,16.0,0.0,68.0,0.0
UTEP,2011,120,35.04,0.0,0.0,17.0,,,0.0
New Mexico State,2011,121,30.13,86.6225,0.0,12.0,0.0,40.0,0.0
Liberty,2011,125,13.33,0.0,0.0,1.0,,,0.0
Texas State,2011,127,12.55,0.0,0.0,1.0,,,0.0
Old Dominion,2011,129,8.32,0.0,0.0,1.0,,,0.0
UMass,2011,130,6.67,0.0,0.0,1.0,,,0.0
UT San Antonio,2011,131,6.67,0.0,0.0,1.0,,,0.0
Appalachian State,2011,133,4.32,0.0,0.0,1.0,,,0.0
Alabama,2012,1,313.12,296.1125,18.0,25.0,66.0,94.0,0.7021276595744681
Texas,2012,2,300.12,293.34000000000003,21.0,26.0,72.0,93.0,0.7741935483870968
Florida,2012,3,290.27,285.88750000000005,14.0,21.0,56.0,84.0,0.6666666666666666
Florida State,2012,4,290.11,279.54499999999996,14.0,17.0,49.0,91.0,0.5384615384615384
Ohio State,2012,5,286.13,270.9775,16.0,23.0,55.0,89.0,0.6179775280898876
Michigan,2012,6,281.12,246.635,16.0,26.0,42.0,96.0,0.4375
Stanford,2012,7,275.98,238.3975,11.0,22.0,30.0,86.0,0.3488372093023256
USC,2012,8,274.18,286.295,11.0,15.0,56.0,73.0,0.7671232876712328
Georgia,2012,9,273.57,273.83500000000004,10.0,18.0,43.0,81.0,0.5308641975308642
Miami,2012,10,268.93,239.85000000000002,9.0,30.0,29.0,88.0,0.32954545454545453
Auburn,2012,11,261.81,261.74,11.0,20.0,42.0,93.0,0.45161290322580644
Oklahoma,2012,12,255.08,264.5575,10.0,17.0,46.0,83.0,0.5542168674698795
LSU,2012,13,252.55,271.54749999999996,16.0,23.0,53.0,93.0,0.5698924731182796
Oregon,2012,14,251.25,242.995,10.0,18.0,31.0,79.0,0.3924050632911392
South Carolina,2012,15,248.77,240.08249999999998,9.0,24.0,26.0,98.0,0.2653061224489796
Texas A&M,2012,16,248.67,225.76749999999998,10.0,18.0,26.0,88.0,0.29545454545454547
Notre Dame,2012,17,248.21,251.95,10.0,16.0,38.0,79.0,0.4810126582278481
UCLA,2012,18,247.77,235.565,7.0,25.0,30.0,91.0,0.32967032967032966
Tennessee,2012,19,242.81,258.1925,8.0,19.0,35.0,86.0,0.4069767441860465
Clemson,2012,20,241.73,234.34,10.0,17.0,28.0,80.0,0.35
Virginia Tech,2012,21,231.41,214.94,7.0,29.0,16.0,87.0,0.1839080459770115
Mississippi State,2012,22,227.14,212.8,5.0,25.0,16.0,91.0,0.17582417582417584
Rutgers,2012,23,226.24,208.055,6.0,19.0,17.0,86.0,0.19767441860465115
Washington,2012,24,225.52,208.685,7.0,24.0,18.0,87.0,0.20689655172413793
Virginia,2012,25,223.88,206.475,5.0,26.0,13.0,94.0,0.13829787234042554
Baylor,2012,26,222.62,195.5075,5.0,23.0,9.0,83.0,0.10843373493975904
Arkansas,2012,27,222.12,221.12,4.0,24.0,16.0,98.0,0.16326530612244897
Texas Tech,2012,28,220.7,216.2475,4.0,16.0,17.0,91.0,0.18681318681318682
TCU,2012,29,219.37,203.7375,3.0,21.0,9.0,83.0,0.10843373493975904
California,2012,30,217.88,227.09,7.0,16.0,32.0,68.0,0.47058823529411764
Oklahoma State,2012,31,213.82,212.32750000000001,4.0,20.0,13.0,90.0,0.14444444444444443
Nebraska,2012,32,213.77,220.16,7.0,15.0,23.0,69.0,0.3333333333333333
Missouri,2012,33,212.4,201.4775,4.0,18.0,12.0,77.0,0.15584415584415584
Michigan State,2012,34,210.77,216.195,4.0,21.0,17.0,91.0,0.18681318681318682
West Virginia,2012,35,206.7,200.9825,3.0,27.0,12.0,89.0,0.1348314606741573
Arizona State,2012,36,205.33,191.63250000000002,2.0,17.0,5.0,70.0,0.07142857142857142
Maryland,2012,37,204.96,196.2975,3.0,21.0,12.0,85.0,0.1411764705882353
Utah,2012,38,204.91,196.145,4.0,22.0,7.0,70.0,0.1
Colorado,2012,39,203.71,181.0225,2.0,27.0,6.0,86.0,0.06976744186046512
Iowa,2012,40,201.08,195.825,4.0,23.0,14.0,89.0,0.15730337078651685
North Carolina,2012,41,199.55,228.4925,2.0,24.0,25.0,90.0,0.2777777777777778
Arizona,2012,42,199.26,183.695,2.0,25.0,5.0,79.0,0.06329113924050633
Pittsburgh,2012,43,198.81,189.845,4.0,17.0,12.0,77.0,0.15584415584415584
Oregon State,2012,44,195.63,183.55,1.0,20.0,4.0,83.0,0.04819277108433735
Louisville,2012,45,194.36,193.585,2.0,19.0,8.0,80.0,0.1
Vanderbilt,2012,46,194.25,179.0775,1.0,22.0,3.0,84.0,0.03571428571428571
Penn State,2012,47,192.63,219.28250000000003,3.0,20.0,27.0,77.0,0.35064935064935066
Ole Miss,2012,48,190.69,220.26999999999998,3.0,15.0,17.0,90.0,0.18888888888888888
Purdue,2012,49,188.27,166.285,2.0,23.0,3.0,79.0,0.0379746835443038
Kentucky,2012,50,187.81,189.2675,1.0,26.0,6.0,93.0,0.06451612903225806
Cincinnati,2012,51,185.26,178.5725,0.0,29.0,4.0,92.0,0.043478260869565216
NC State,2012,52,183.7,180.8575,1.0,19.0,5.0,79.0,0.06329113924050633
Georgia Tech,2012,53,183.42,190.24499999999998,2.0,18.0,8.0,80.0,0.1
South Florida,2012,54,181.93,182.525,2.0,12.0,6.0,70.0,0.08571428571428572
Northwestern,2012,55,178.76,168.95499999999998,1.0,21.0,1.0,72.0,0.013888888888888888
Houston,2012,56,176.32,164.415,1.0,24.0,1.0,85.0,0.011764705882352941
Indiana,2012,57,175.53,165.5725,0.0,18.0,0.0,82.0,0.0
Washington State,2012,58,173.37,165.4875,1.0,21.0,1.0,84.0,0.011904761904761904
Minnesota,2012,59,171.0,180.955,0.0,23.0,3.0,83.0,0.03614457831325301
Syracuse,2012,60,170.44,158.4875,2.0,19.0,2.0,82.0,0.024390243902439025
Boise State,2012,61,169.1,151.59,0.0,20.0,0.0,68.0,0.0
Duke,2012,62,165.02,167.025,0.0,20.0,1.0,89.0,0.011235955056179775
Illinois,2012,63,162.09,185.0575,0.0,18.0,6.0,91.0,0.06593406593406594
Arkansas State,2012,64,162.02,108.1175,0.0,22.0,0.0,70.0,0.0
Wisconsin,2012,65,160.75,182.195,4.0,13.0,9.0,80.0,0.1125
Wake Forest,2012,66,156.07,161.7,0.0,19.0,1.0,74.0,0.013513513513513514
Iowa State,2012,67,155.41,161.04,0.0,19.0,0.0,82.0,0.0
Southern Mississippi,2012,68,150.61,152.22500000000002,1.0,20.0,2.0,80.0,0.025
Boston College,2012,69,150.03,173.10250000000002,0.0,17.0,6.0,78.0,0.07692307692307693
SMU,2012,70,149.82,157.695,0.0,23.0,2.0,97.0,0.020618556701030927
BYU,2012,71,148.63,171.4825,2.0,14.0,7.0,73.0,0.0958904109589041
Connecticut,2012,72,143.96,138.805,0.0,20.0,0.0,76.0,0.0
Kansas State,2012,73,139.67,156.7,0.0,13.0,0.0,65.0,0.0
Temple,2012,74,139.63,114.2125,0.0,28.0,0.0,76.0,0.0
San Diego State,2012,75,139.37,138.865,0.0,20.0,0.0,83.0,0.0
Toledo,2012,76,138.36,137.985,1.0,25.0,2.0,79.0,0.02531645569620253
Nevada,2012,77,135.19,112.54249999999999,0.0,16.0,0.0,64.0,0.0
Marshall,2012,78,134.93,145.2525,1.0,15.0,1.0,82.0,0.012195121951219513
Florida International,2012,79,134.46,129.115,0.0,28.0,1.0,93.0,0.010752688172043012
East Carolina,2012,80,133.06,137.115,0.0,12.0,0.0,66.0,0.0
Kansas,2012,81,128.07,170.18,0.0,10.0,0.0,74.0,0.0
Florida Atlantic,2012,82,125.72,0.0,0.0,18.0,,,0.0
