team,year,conference,elo,fpi,conference_rating
Miami,2006,ACC,1663.0,7.059,6.833333333333333
Miami (OH),2006,Mid-American,1348.0,-10.992,-11.166666666666666
Michigan,2006,Big Ten,1892.0,19.437,7.6454545454545455
Michigan State,2006,Big Ten,1472.0,2.997,7.6454545454545455
Middle Tennessee,2006,Sun Belt,1308.0,-6.697,-19.3625
Minnesota,2006,Big Ten,1678.0,8.467,7.6454545454545455
Mississippi State,2006,SEC,1356.0,-2.615,13.25
Missouri,2006,Big 12,1722.0,10.496,10.033333333333333
Navy,2006,FBS Independents,1592.0,3.25,-12.0
NC State,2006,ACC,1457.0,0.017,6.833333333333333
Nebraska,2006,Big 12,1808.0,14.438,10.033333333333333
Nevada,2006,Western Athletic,1609.0,3.317,-7.266666666666667
New Mexico,2006,Mountain West,1458.0,-4.357,1.011111111111111
New Mexico State,2006,Western Athletic,1242.0,-13.157,-7.266666666666667
North Carolina,2006,ACC,1341.0,-4.755,6.833333333333333
Northern Illinois,2006,Mid-American,1518.0,-1.394,-11.166666666666666
North Texas,2006,Sun Belt,1039.0,-18.65,-19.3625
Northwestern,2006,Big Ten,1437.0,-3.926,7.6454545454545455
Notre Dame,2006,FBS Independents,1756.0,14.132,-12.0
Ohio,2006,Mid-American,1340.0,-4.049,-11.166666666666666
Ohio State,2006,Big Ten,2043.0,24.902,7.6454545454545455
Oklahoma,2006,Big 12,1921.0,16.932,10.033333333333333
Oklahoma State,2006,Big 12,1674.0,9.809,10.033333333333333
Ole Miss,2006,SEC,1300.0,-3.836,13.25
Oregon,2006,Pac-10,1594.0,10.815,8.51
Oregon State,2006,Pac-10,1617.0,9.861,8.51
Penn State,2006,Big Ten,1789.0,11.93,7.6454545454545455
Pittsburgh,2006,Big East,1668.0,8.53,11.75
Purdue,2006,Big Ten,1524.0,1.963,7.6454545454545455
Rice,2006,Conference USA,1238.0,-7.705,-6.133333333333333
Rutgers,2006,Big East,1767.0,12.041,11.75
San Diego State,2006,Mountain West,1213.0,-10.073,1.011111111111111
San José State,2006,Western Athletic,1396.0,-5.495,-7.266666666666667
SMU,2006,Conference USA,1395.0,-5.108,-6.133333333333333
South Carolina,2006,SEC,1752.0,10.663,13.25
Southern Mississippi,2006,Conference USA,1606.0,3.585,-6.133333333333333
South Florida,2006,Big East,1641.0,5.533,11.75
Stanford,2006,Pac-10,1232.0,-6.954,8.51
Syracuse,2006,Big East,1361.0,-2.676,11.75
TCU,2006,Mountain West,1893.0,11.867,1.011111111111111
Tennessee,2006,SEC,1777.0,14.198,13.25
Texas,2006,Big 12,2045.0,21.553,10.033333333333333
Texas A&M,2006,Big 12,1664.0,10.39,10.033333333333333
Texas Tech,2006,Big 12,1743.0,11.468,10.033333333333333
Toledo,2006,Mid-American,1341.0,-7.747,-11.166666666666666
Troy,2006,Sun Belt,1281.0,-9.226,-19.3625
Tulane,2006,Conference USA,1103.0,-12.945,-6.133333333333333
Tulsa,2006,Conference USA,1566.0,4.146,-6.133333333333333
UAB,2006,Conference USA,1308.0,-7.89,-6.133333333333333
UCF,2006,Conference USA,1217.0,-9.235,-6.133333333333333
UCLA,2006,Pac-10,1636.0,9.757,8.51
UNLV,2006,Mountain West,1102.0,-12.583,1.011111111111111
