name,team,year,games,wins,losses
Chauncey Simpson,Missouri,1945,10,6,4
Jess Simpson,Miami,2021,0,0,0
Dan Simrell,Toledo,1982,11,6,5
Dan Simrell,Toledo,1983,11,9,2
Dan Simrell,Toledo,1984,12,8,3
Dan Simrell,Toledo,1985,11,4,7
Dan Simrell,Toledo,1986,11,7,4
Dan Simrell,Toledo,1987,11,3,7
Dan Simrell,Toledo,1988,11,6,5
Dan Simrell,Toledo,1989,11,6,5
Kalani Sitake,BYU,2016,13,9,4
Kalani Sitake,BYU,2017,13,4,9
Kalani Sitake,BYU,2018,13,7,6
Kalani Sitake,BYU,2019,13,7,6
Kalani Sitake,BYU,2020,12,11,1
Kalani Sitake,BYU,2021,13,10,3
Kalani Sitake,BYU,2022,13,8,5
Kalani Sitake,BYU,2023,2,2,0
Steve Sloan,Vanderbilt,1973,11,5,6
Steve Sloan,Vanderbilt,1974,12,7,3
Steve Sloan,Texas Tech,1975,11,6,5
Steve Sloan,Texas Tech,1976,12,10,2
Steve Sloan,Texas Tech,1977,12,7,5
Steve Sloan,Ole Miss,1978,11,5,6
Steve Sloan,Ole Miss,1979,11,4,7
Steve Sloan,Ole Miss,1980,11,3,8
Steve Sloan,Ole Miss,1981,11,4,6
Steve Sloan,Ole Miss,1982,11,4,7
Steve Sloan,Duke,1983,11,3,8
Steve Sloan,Duke,1984,11,2,9
Steve Sloan,Duke,1985,11,4,7
Steve Sloan,Duke,1986,11,4,7
R.C. Slocum,Texas A&M,1989,12,8,4
R.C. Slocum,Texas A&M,1990,13,9,3
R.C. Slocum,Texas A&M,1991,12,10,2
R.C. Slocum,Texas A&M,1992,13,12,1
R.C. Slocum,Texas A&M,1993,12,10,2
R.C. Slocum,Texas A&M,1994,11,10,0
R.C. Slocum,Texas A&M,1995,12,9,3
R.C. Slocum,Texas A&M,1996,12,6,6
R.C. Slocum,Texas A&M,1997,13,9,4
R.C. Slocum,Texas A&M,1998,14,11,3
R.C. Slocum,Texas A&M,1999,12,8,4
R.C. Slocum,Texas A&M,2000,12,7,5
R.C. Slocum,Texas A&M,2001,12,8,4
R.C. Slocum,Texas A&M,2002,12,6,6
Kirby Smart,Georgia,2016,13,8,5
Kirby Smart,Georgia,2017,15,13,2
Kirby Smart,Georgia,2018,14,11,3
Kirby Smart,Georgia,2019,14,12,2
Kirby Smart,Georgia,2020,10,8,2
Kirby Smart,Georgia,2021,15,14,1
Kirby Smart,Georgia,2022,15,15,0
Kirby Smart,Georgia,2023,2,2,0
Andy Smith,Purdue,1913,7,4,1
Andy Smith,Purdue,1914,7,5,2
Andy Smith,Purdue,1915,7,3,3
Andy Smith,California,1916,11,6,4
Andy Smith,California,1917,11,5,5
Andy Smith,California,1918,9,7,2
Andy Smith,California,1919,9,6,2
Andy Smith,California,1920,9,9,0
Andy Smith,California,1921,10,9,0
Andy Smith,California,1922,9,9,0
Andy Smith,California,1923,10,9,0
Andy Smith,California,1924,10,8,0
Andy Smith,California,1925,9,6,3
Clyde Smith,Indiana,1948,9,2,7
Clyde Smith,Indiana,1949,9,1,8
Clyde Smith,Indiana,1950,9,3,5
Clyde Smith,Indiana,1951,9,2,7
Clyde Smith,Arizona State,1952,9,6,3
Clyde Smith,Arizona State,1953,10,4,5
Clyde Smith,Arizona State,1954,10,5,5
Dave Smith,Oklahoma State,1972,11,6,5
Dave Smith,SMU,1973,11,6,4
Dave Smith,SMU,1974,11,6,4
Dave Smith,SMU,1975,11,4,7
Fred Smith,Illinois,1900,12,7,3
Homer Smith,Davidson,1965,10,6,4
Homer Smith,Davidson,1966,9,4,5
Homer Smith,Davidson,1967,9,4,5
Homer Smith,Davidson,1968,9,3,6
Homer Smith,Davidson,1969,11,7,4
Homer Smith,Pacific,1970,11,5,6
Homer Smith,Pacific,1971,11,3,8
Homer Smith,Army,1974,11,3,8
Homer Smith,Army,1975,11,2,9
Homer Smith,Army,1976,11,5,6
Homer Smith,Army,1977,11,7,4
Homer Smith,Army,1978,11,4,6
John Smith,Utah State,1995,11,4,7
John Smith,Utah State,1996,11,6,5
John Smith,Utah State,1997,12,6,6
John Smith,Louisville,1998,12,7,5
John Smith,Louisville,1999,12,7,5
John Smith,Louisville,2000,12,9,3
John Smith,Louisville,2001,13,11,2
John Smith,Louisville,2002,13,7,6
John Smith,Michigan State,2003,13,8,5
John Smith,Michigan State,2004,12,5,7
John Smith,Michigan State,2005,11,5,6
John Smith,Michigan State,2006,12,4,8
John Smith,Arkansas,2012,12,4,8
Jonathan Smith,Oregon State,2018,12,2,10
Jonathan Smith,Oregon State,2019,12,5,7
Jonathan Smith,Oregon State,2020,7,2,5
Jonathan Smith,Oregon State,2021,13,7,6
Jonathan Smith,Oregon State,2022,13,10,3
Jonathan Smith,Oregon State,2023,2,2,0
Larry Smith,Tulane,1976,11,2,9
Larry Smith,Tulane,1977,11,3,8
Larry Smith,Tulane,1978,11,4,7
Larry Smith,Tulane,1979,12,9,3
Larry Smith,Arizona,1980,11,5,6
Larry Smith,Arizona,1981,11,6,5
Larry Smith,Arizona,1982,11,6,4
Larry Smith,Arizona,1983,11,7,3
Larry Smith,Arizona,1984,11,7,4
Larry Smith,Arizona,1985,12,8,3
Larry Smith,Arizona,1986,12,9,3
Larry Smith,USC,1987,12,8,4
Larry Smith,USC,1988,12,10,2
Larry Smith,USC,1989,12,9,2
Larry Smith,USC,1990,13,8,4
Larry Smith,USC,1991,11,3,8
Larry Smith,USC,1992,12,6,5
Larry Smith,Missouri,1994,12,3,8
Larry Smith,Missouri,1995,11,3,8
Larry Smith,Missouri,1996,11,5,6
Larry Smith,Missouri,1997,12,7,5
Larry Smith,Missouri,1998,12,8,4
Larry Smith,Missouri,1999,11,4,7
Larry Smith,Missouri,2000,11,3,8
Lovie Smith,Illinois,2016,12,3,9
Lovie Smith,Illinois,2017,12,2,10
Lovie Smith,Illinois,2018,12,4,8
Lovie Smith,Illinois,2019,13,6,7
Lovie Smith,Illinois,2020,7,2,5
Richard Smith,Oregon,1925,7,1,5
Rod Smith,Illinois,2020,1,0,1
W.C. Smith,Wake Forest,1914,9,3,6
W.C. Smith,Wake Forest,1915,7,3,4
Henry Smither,Army,1906,8,2,5
Henry Smither,Army,1907,9,6,2
Carl Snavely,Bucknell,1930,9,6,3
Carl Snavely,Bucknell,1931,9,6,0
Carl Snavely,Bucknell,1932,9,4,4
Carl Snavely,Bucknell,1933,9,7,2
Carl Snavely,North Carolina,1934,9,7,1
Carl Snavely,North Carolina,1935,9,8,1
Carl Snavely,Cornell,1937,8,5,2
Carl Snavely,Cornell,1938,7,5,1
Carl Snavely,Cornell,1939,8,8,0
Carl Snavely,Cornell,1940,8,6,2
Carl Snavely,North Carolina,1945,10,5,5
Carl Snavely,North Carolina,1946,11,8,2
Carl Snavely,North Carolina,1947,10,8,2
Carl Snavely,North Carolina,1948,11,9,1
Carl Snavely,North Carolina,1949,11,7,4
Carl Snavely,North Carolina,1950,10,3,5
Carl Snavely,North Carolina,1951,10,2,8
Carl Snavely,North Carolina,1952,8,2,6
Bill Snyder,Kansas State,1989,11,1,10
Bill Snyder,Kansas State,1990,11,5,6
Bill Snyder,Kansas State,1991,11,7,4
Bill Snyder,Kansas State,1992,11,5,6
Bill Snyder,Kansas State,1993,12,9,2
Bill Snyder,Kansas State,1994,12,9,3
Bill Snyder,Kansas State,1995,12,10,2
Bill Snyder,Kansas State,1996,12,9,3
Bill Snyder,Kansas State,1997,12,11,1
Bill Snyder,Kansas State,1998,13,11,2
Bill Snyder,Kansas State,1999,12,11,1
Bill Snyder,Kansas State,2000,14,11,3
Bill Snyder,Kansas State,2001,12,6,6
Bill Snyder,Kansas State,2002,13,11,2
Bill Snyder,Kansas State,2003,15,11,4
Bill Snyder,Kansas State,2004,11,4,7
Bill Snyder,Kansas State,2005,11,5,6
Bill Snyder,Kansas State,2009,12,6,6
Bill Snyder,Kansas State,2010,13,7,6
Bill Snyder,Kansas State,2011,13,10,3
Bill Snyder,Kansas State,2012,13,11,2
Bill Snyder,Kansas State,2013,13,8,5
Bill Snyder,Kansas State,2014,13,9,4
Bill Snyder,Kansas State,2015,13,6,7
Bill Snyder,Kansas State,2016,13,9,4
Bill Snyder,Kansas State,2017,13,8,5
Bill Snyder,Kansas State,2018,12,5,7
Bruce Snyder,Utah State,1976,11,3,8
Bruce Snyder,Utah State,1977,11,4,7
Bruce Snyder,Utah State,1978,11,7,4
Bruce Snyder,Utah State,1979,11,7,3
Bruce Snyder,Utah State,1980,11,6,5
Bruce Snyder,Utah State,1981,11,5,5
Bruce Snyder,Utah State,1982,11,5,6
Bruce Snyder,California,1987,11,3,6
Bruce Snyder,California,1988,11,5,5
Bruce Snyder,California,1989,11,4,7
Bruce Snyder,California,1990,12,7,4
Bruce Snyder,California,1991,12,10,2
Bruce Snyder,Arizona State,1992,11,6,5
Bruce Snyder,Arizona State,1993,11,6,5
Bruce Snyder,Arizona State,1994,11,3,8
Bruce Snyder,Arizona State,1995,11,6,5
Bruce Snyder,Arizona State,1996,12,11,1
Bruce Snyder,Arizona State,1997,12,9,3
Bruce Snyder,Arizona State,1998,11,5,6
Bruce Snyder,Arizona State,1999,12,6,6
Bruce Snyder,Arizona State,2000,12,6,6
Charlie Snyder,Marshall,1962,10,4,6
Charlie Snyder,Marshall,1963,10,5,4
Charlie Snyder,Marshall,1964,10,7,3
Charlie Snyder,Marshall,1965,10,5,5
Charlie Snyder,Marshall,1966,10,2,8
Charlie Snyder,Marshall,1967,10,0,10
Mark Snyder,Marshall,2005,11,4,7
Mark Snyder,Marshall,2006,12,5,7
Mark Snyder,Marshall,2007,12,3,9
Mark Snyder,Marshall,2008,12,4,8
Mark Snyder,Marshall,2009,13,7,6
Ossie Solem,Drake,1921,7,5,2
Ossie Solem,Drake,1922,7,7,0
Ossie Solem,Drake,1923,7,5,2
Ossie Solem,Drake,1924,8,5,2
Ossie Solem,Drake,1925,8,5,3
Ossie Solem,Drake,1926,8,2,6
Ossie Solem,Drake,1927,9,3,6
Ossie Solem,Drake,1928,8,7,1
Ossie Solem,Drake,1929,9,5,3
Ossie Solem,Drake,1930,9,5,4
Ossie Solem,Drake,1931,11,5,6
Ossie Solem,Iowa,1932,8,1,7
Ossie Solem,Iowa,1933,8,5,3
Ossie Solem,Iowa,1934,8,2,5
Ossie Solem,Iowa,1935,8,4,2
Ossie Solem,Iowa,1936,8,3,4
Ossie Solem,Syracuse,1937,8,5,2
Ossie Solem,Syracuse,1938,8,5,3
Ossie Solem,Syracuse,1939,8,3,3
Ossie Solem,Syracuse,1940,8,3,4
Ossie Solem,Syracuse,1941,8,5,2
Ossie Solem,Syracuse,1942,9,6,3
Ossie Solem,Syracuse,1944,7,2,4
Ossie Solem,Syracuse,1945,7,1,6
Frank Solich,Nebraska,1998,13,9,4
Frank Solich,Nebraska,1999,13,12,1
Frank Solich,Nebraska,2000,12,10,2
Frank Solich,Nebraska,2001,13,11,2
Frank Solich,Nebraska,2002,14,7,7
Frank Solich,Nebraska,2003,12,9,3
Frank Solich,Ohio,2005,11,4,7
Frank Solich,Ohio,2006,14,9,5
Frank Solich,Ohio,2007,12,6,6
Frank Solich,Ohio,2008,12,4,8
Frank Solich,Ohio,2009,14,9,5
Frank Solich,Ohio,2010,13,8,5
Frank Solich,Ohio,2011,14,10,4
Frank Solich,Ohio,2012,13,9,4
Frank Solich,Ohio,2013,13,7,6
Frank Solich,Ohio,2014,12,6,6
Frank Solich,Ohio,2015,13,8,5
Frank Solich,Ohio,2016,14,8,6
Frank Solich,Ohio,2017,13,9,4
Frank Solich,Ohio,2018,13,9,4
Frank Solich,Ohio,2019,13,7,6
Frank Solich,Ohio,2020,3,2,1
Lou Spanos,Connecticut,2021,10,1,9
William Spaulding,Minnesota,1922,7,3,3
William Spaulding,Minnesota,1923,7,5,1
William Spaulding,Minnesota,1924,8,3,3
William Spaulding,UCLA,1928,9,4,4
William Spaulding,UCLA,1929,8,4,4
William Spaulding,UCLA,1930,8,3,5
William Spaulding,UCLA,1931,8,3,4
William Spaulding,UCLA,1932,10,6,4
William Spaulding,UCLA,1933,11,6,4
William Spaulding,UCLA,1934,10,7,3
William Spaulding,UCLA,1935,10,8,2
William Spaulding,UCLA,1936,10,6,3
William Spaulding,UCLA,1937,9,2,6
William Spaulding,UCLA,1938,12,7,4
Jake Spavital,Texas State,2019,12,3,9
Jake Spavital,Texas State,2020,12,2,10
Jake Spavital,Texas State,2021,12,4,8
Jake Spavital,Texas State,2022,12,4,8
Frank Spaziani,Boston College,2009,13,8,5
Frank Spaziani,Boston College,2010,13,7,6
Frank Spaziani,Boston College,2011,12,4,8
Frank Spaziani,Boston College,2012,12,2,10
Clarence Spears,West Virginia,1921,10,5,4
Clarence Spears,West Virginia,1922,10,10,0
Clarence Spears,West Virginia,1923,9,7,1
Clarence Spears,West Virginia,1924,9,8,1
Clarence Spears,Minnesota,1925,8,5,2
Clarence Spears,Minnesota,1926,8,5,3
Clarence Spears,Minnesota,1927,8,6,0
Clarence Spears,Minnesota,1928,8,6,2
Clarence Spears,Minnesota,1929,8,6,2
Clarence Spears,Oregon,1930,9,7,2
Clarence Spears,Oregon,1931,10,6,2
Clarence Spears,Wisconsin,1932,8,6,1
Clarence Spears,Wisconsin,1933,8,2,5
Clarence Spears,Wisconsin,1934,8,4,4
Clarence Spears,Wisconsin,1935,8,1,7
Clarence Spears,Maryland,1943,9,4,5
Clarence Spears,Maryland,1944,9,1,7
Cliff Speegle,Oklahoma State,1955,10,2,8
Cliff Speegle,Oklahoma State,1956,10,3,5
Cliff Speegle,Oklahoma State,1957,10,6,3
Cliff Speegle,Oklahoma State,1958,11,8,3
Cliff Speegle,Oklahoma State,1959,10,6,4
Cliff Speegle,Oklahoma State,1960,10,3,7
Cliff Speegle,Oklahoma State,1961,10,4,6
Cliff Speegle,Oklahoma State,1962,10,4,6
Frederick Speik,Purdue,1908,7,4,3
Frederick Speik,Purdue,1909,7,2,5
Steve Spurrier,Duke,1987,11,5,6
Steve Spurrier,Duke,1988,11,7,3
Steve Spurrier,Duke,1989,12,8,4
Steve Spurrier,Florida,1990,11,9,2
Steve Spurrier,Florida,1991,12,10,2
Steve Spurrier,Florida,1992,13,9,4
Steve Spurrier,Florida,1993,13,11,2
Steve Spurrier,Florida,1994,13,10,2
Steve Spurrier,Florida,1995,13,12,1
Steve Spurrier,Florida,1996,13,12,1
Steve Spurrier,Florida,1997,12,10,2
Steve Spurrier,Florida,1998,12,10,2
Steve Spurrier,Florida,1999,13,9,4
Steve Spurrier,Florida,2000,13,10,3
Steve Spurrier,Florida,2001,12,10,2
Steve Spurrier,South Carolina,2005,12,7,5
Steve Spurrier,South Carolina,2006,13,8,5
Steve Spurrier,South Carolina,2007,12,6,6
Steve Spurrier,South Carolina,2008,13,7,6
Steve Spurrier,South Carolina,2009,13,7,6
Steve Spurrier,South Carolina,2010,14,9,5
Steve Spurrier,South Carolina,2011,13,11,2
Steve Spurrier,South Carolina,2012,13,11,2
Steve Spurrier,South Carolina,2013,13,11,2
Steve Spurrier,South Carolina,2014,13,7,6
Steve Spurrier,South Carolina,2015,6,2,4
Tal Stafford,NC State,1918,4,1,3
Amos Alonzo Stagg,Springfield,1891,14,5,8
Amos Alonzo Stagg,Chicago,1892,13,8,4
Amos Alonzo Stagg,Chicago,1893,12,6,4
Amos Alonzo Stagg,Chicago,1894,22,14,7
Amos Alonzo Stagg,Chicago,1895,13,10,3
Amos Alonzo Stagg,Chicago,1896,18,15,2
Amos Alonzo Stagg,Chicago,1897,12,11,1
Amos Alonzo Stagg,Chicago,1898,17,14,2
Amos Alonzo Stagg,Chicago,1899,18,16,0
Amos Alonzo Stagg,Chicago,1900,15,9,5
Amos Alonzo Stagg,Chicago,1901,16,8,6
Amos Alonzo Stagg,Chicago,1902,15,14,1
Amos Alonzo Stagg,Chicago,1903,15,12,2
Amos Alonzo Stagg,Chicago,1904,12,10,1
Amos Alonzo Stagg,Chicago,1905,11,11,0
Amos Alonzo Stagg,Chicago,1906,5,4,1
Amos Alonzo Stagg,Chicago,1907,5,4,1
Amos Alonzo Stagg,Chicago,1908,6,5,0
Amos Alonzo Stagg,Chicago,1909,7,4,1
Amos Alonzo Stagg,Chicago,1910,7,2,5
Amos Alonzo Stagg,Chicago,1911,7,6,1
Amos Alonzo Stagg,Chicago,1912,7,6,1
Amos Alonzo Stagg,Chicago,1913,7,7,0
Amos Alonzo Stagg,Chicago,1914,7,4,2
Amos Alonzo Stagg,Chicago,1915,7,5,2
Amos Alonzo Stagg,Chicago,1916,7,3,4
Amos Alonzo Stagg,Chicago,1917,6,3,2
Amos Alonzo Stagg,Chicago,1918,11,4,6
Amos Alonzo Stagg,Chicago,1919,7,5,2
Amos Alonzo Stagg,Chicago,1920,7,3,4
Amos Alonzo Stagg,Chicago,1921,7,6,1
Amos Alonzo Stagg,Chicago,1922,7,5,1
Amos Alonzo Stagg,Chicago,1923,8,7,1
Amos Alonzo Stagg,Chicago,1924,8,4,1
Amos Alonzo Stagg,Chicago,1925,8,3,4
Amos Alonzo Stagg,Chicago,1926,8,2,6
Amos Alonzo Stagg,Chicago,1927,8,4,4
Amos Alonzo Stagg,Chicago,1928,9,2,7
Amos Alonzo Stagg,Chicago,1929,10,7,3
Amos Alonzo Stagg,Chicago,1930,9,2,5
Amos Alonzo Stagg,Chicago,1931,9,2,6
Amos Alonzo Stagg,Chicago,1932,8,3,4
Amos Alonzo Stagg,Pacific,1943,9,7,2
Chad Staggs,Coastal Carolina,2022,1,0,1
Gene Stallings,Texas A&M,1965,10,3,7
Gene Stallings,Texas A&M,1966,10,4,5
Gene Stallings,Texas A&M,1967,11,7,4
Gene Stallings,Texas A&M,1968,10,3,7
Gene Stallings,Texas A&M,1969,10,3,7
Gene Stallings,Texas A&M,1970,11,2,9
Gene Stallings,Texas A&M,1971,11,5,6
Gene Stallings,Alabama,1990,12,7,5
Gene Stallings,Alabama,1991,12,11,1
Gene Stallings,Alabama,1992,13,13,0
Gene Stallings,Alabama,1993,13,9,3
Gene Stallings,Alabama,1994,13,12,1
Gene Stallings,Alabama,1995,11,8,3
Gene Stallings,Alabama,1996,13,10,3
Dutch Stanley,Florida,1933,9,5,3
Dutch Stanley,Florida,1934,10,6,3
Dutch Stanley,Florida,1935,10,3,7
Jim Stanley,Oklahoma State,1973,11,5,4
Jim Stanley,Oklahoma State,1974,12,7,5
Jim Stanley,Oklahoma State,1975,11,7,4
Jim Stanley,Oklahoma State,1976,12,9,3
Jim Stanley,Oklahoma State,1977,11,4,7
Jim Stanley,Oklahoma State,1978,11,3,8
Clay Stapleton,Iowa State,1958,10,4,6
Clay Stapleton,Iowa State,1959,10,7,3
Clay Stapleton,Iowa State,1960,10,7,3
Clay Stapleton,Iowa State,1961,10,5,5
Clay Stapleton,Iowa State,1962,10,5,5
Clay Stapleton,Iowa State,1963,9,4,5
Clay Stapleton,Iowa State,1964,10,1,8
Clay Stapleton,Iowa State,1965,10,5,4
Clay Stapleton,Iowa State,1966,10,2,6
Clay Stapleton,Iowa State,1967,10,2,8
Clarence Stasavich,East Carolina,1965,10,9,1
Clarence Stasavich,East Carolina,1966,10,4,5
Clarence Stasavich,East Carolina,1967,10,8,2
Clarence Stasavich,East Carolina,1968,10,4,6
Clarence Stasavich,East Carolina,1969,9,2,7
Ralph Staub,Cincinnati,1977,11,5,4
Ralph Staub,Cincinnati,1978,11,5,6
Ralph Staub,Cincinnati,1979,11,2,9
Ralph Staub,Cincinnati,1980,11,2,9
N.P. Stauffer,Dickinson,1896,9,4,5
N.P. Stauffer,Dickinson,1897,12,7,3
N.P. Stauffer,Dickinson,1898,10,8,2
N.P. Stauffer,Dickinson,1899,13,6,6
N.P. Stauffer,Ole Miss,1909,9,4,3
N.P. Stauffer,Ole Miss,1910,8,7,1
N.P. Stauffer,Ole Miss,1911,9,6,3
Kevin Steele,Baylor,1999,11,1,10
Kevin Steele,Baylor,2000,11,2,9
Kevin Steele,Baylor,2001,11,3,8
Kevin Steele,Baylor,2002,12,3,9
Kevin Steele,Auburn,2020,1,0,1
Walter Steffen,Carnegie Mellon,1922,9,5,3
Walter Steffen,Carnegie Mellon,1923,8,4,3
Walter Steffen,Carnegie Mellon,1924,9,5,4
Walter Steffen,Carnegie Mellon,1925,8,5,2
Walter Steffen,Carnegie Mellon,1926,9,7,2
Walter Steffen,Carnegie Mellon,1927,10,5,4
Walter Steffen,Carnegie Mellon,1928,8,7,1
Walter Steffen,Carnegie Mellon,1929,9,5,3
Walter Steffen,Carnegie Mellon,1930,9,6,3
Walter Steffen,Carnegie Mellon,1931,9,3,5
Walter Steffen,Carnegie Mellon,1932,9,4,3
Herman Stegeman,Georgia,1920,9,8,0
Herman Stegeman,Georgia,1921,10,7,2
Herman Stegeman,Georgia,1922,10,5,4
Herman Steiner,Duke,1922,10,7,2
Mal Stevens,Yale,1928,8,4,4
Mal Stevens,Yale,1929,8,5,2
Mal Stevens,Yale,1930,9,5,2
Mal Stevens,Yale,1931,8,5,1
Mal Stevens,Yale,1932,7,2,2
Mal Stevens,New York University,1934,8,3,4
Mal Stevens,New York University,1935,8,7,1
Mal Stevens,New York University,1936,9,5,3
Mal Stevens,New York University,1937,9,5,4
Mal Stevens,New York University,1938,8,4,4
Mal Stevens,New York University,1939,9,5,4
Mal Stevens,New York University,1940,9,2,7
Mal Stevens,New York University,1941,9,2,7
Tally Stevens,BYU,1959,10,3,7
Tally Stevens,BYU,1960,11,3,8
Bill Stewart,West Virginia,2008,13,9,4
Bill Stewart,West Virginia,2009,13,9,4
Bill Stewart,West Virginia,2010,13,9,4
Edward Stewart,Nebraska,1916,8,6,2
Edward Stewart,Nebraska,1917,7,5,2
Edward Stewart,Clemson,1921,9,1,6
Edward Stewart,Clemson,1922,9,5,4
Edward Stewart,Texas,1923,9,8,0
Edward Stewart,Texas,1924,9,5,3
Edward Stewart,Texas,1925,9,6,2
Edward Stewart,Texas,1926,9,5,4
James Stewart,SMU,1942,11,3,6
James Stewart,SMU,1943,9,2,7
James Stewart,SMU,1944,10,5,5
H.O. Stickney,Wisconsin,1894,7,5,2
H.O. Stickney,Wisconsin,1895,8,5,2
Tom Stidham,Oklahoma,1937,9,5,2
Tom Stidham,Oklahoma,1938,11,10,1
Tom Stidham,Oklahoma,1939,9,6,2
Tom Stidham,Oklahoma,1940,9,6,3
Tom Stidham,Marquette,1941,9,4,5
Tom Stidham,Marquette,1942,9,7,2
Tom Stidham,Marquette,1943,8,3,4
Tom Stidham,Marquette,1944,8,1,7
Tom Stidham,Marquette,1945,10,5,4
John Stiegman,Rutgers,1956,10,3,7
John Stiegman,Rutgers,1957,9,5,4
John Stiegman,Rutgers,1958,9,8,1
John Stiegman,Rutgers,1959,9,6,3
John Stiegman,Pennsylvania,1960,9,3,6
John Stiegman,Pennsylvania,1961,9,2,7
John Stiegman,Pennsylvania,1962,9,3,6
John Stiegman,Pennsylvania,1963,9,3,6
John Stiegman,Pennsylvania,1964,9,1,8
Jumbo Stiehm,Nebraska,1911,8,5,1
Jumbo Stiehm,Nebraska,1912,8,7,1
Jumbo Stiehm,Nebraska,1913,8,8,0
Jumbo Stiehm,Nebraska,1914,8,7,0
Jumbo Stiehm,Nebraska,1915,8,8,0
Jumbo Stiehm,Indiana,1916,7,2,4
Jumbo Stiehm,Indiana,1917,7,5,2
Jumbo Stiehm,Indiana,1918,4,2,2
Jumbo Stiehm,Indiana,1919,7,3,4
Jumbo Stiehm,Indiana,1920,7,5,2
Jumbo Stiehm,Indiana,1921,7,3,4
Lynn Stiles,San José State,1976,11,7,4
Lynn Stiles,San José State,1977,11,4,7
Lynn Stiles,San José State,1978,12,7,5
Lon Stiner,Oregon State,1933,10,6,2
Lon Stiner,Oregon State,1934,11,3,6
Lon Stiner,Oregon State,1935,11,6,4
Lon Stiner,Oregon State,1936,10,4,6
Lon Stiner,Oregon State,1937,9,3,3
Lon Stiner,Oregon State,1938,9,5,3
Lon Stiner,Oregon State,1939,11,9,1
Lon Stiner,Oregon State,1940,9,5,3
Lon Stiner,Oregon State,1941,10,8,2
Lon Stiner,Oregon State,1942,10,4,5
Lon Stiner,Oregon State,1945,9,4,4
Lon Stiner,Oregon State,1946,9,7,1
Lon Stiner,Oregon State,1947,10,5,5
Lon Stiner,Oregon State,1948,12,5,4
Harry Stiteler,Texas A&M,1948,10,0,9
Harry Stiteler,Texas A&M,1949,10,1,8
Harry Stiteler,Texas A&M,1950,11,7,4
Chuck Stobart,Toledo,1977,11,2,9
Chuck Stobart,Toledo,1978,11,2,9
Chuck Stobart,Toledo,1979,11,7,3
Chuck Stobart,Toledo,1980,11,4,7
Chuck Stobart,Toledo,1981,12,9,3
Chuck Stobart,Utah,1982,11,5,6
Chuck Stobart,Utah,1983,11,5,6
Chuck Stobart,Utah,1984,12,6,5
Chuck Stobart,Memphis,1989,11,2,9
Chuck Stobart,Memphis,1990,11,4,6
Chuck Stobart,Memphis,1991,11,5,6
Chuck Stobart,Memphis,1992,11,6,5
Chuck Stobart,Memphis,1993,11,6,5
Chuck Stobart,Memphis,1994,11,6,5
Mike Stock,Eastern Michigan,1978,10,3,7
Mike Stock,Eastern Michigan,1979,11,2,8
Mike Stock,Eastern Michigan,1980,10,1,9
Mike Stock,Eastern Michigan,1981,11,0,11
Mike Stock,Eastern Michigan,1982,3,0,3
Rick Stockstill,Middle Tennessee,2006,13,7,6
Rick Stockstill,Middle Tennessee,2007,12,5,7
Rick Stockstill,Middle Tennessee,2008,12,5,7
Rick Stockstill,Middle Tennessee,2009,13,10,3
Rick Stockstill,Middle Tennessee,2010,13,6,7
Rick Stockstill,Middle Tennessee,2011,12,2,10
Rick Stockstill,Middle Tennessee,2012,12,8,4
Rick Stockstill,Middle Tennessee,2013,13,8,5
Rick Stockstill,Middle Tennessee,2014,12,6,6
Rick Stockstill,Middle Tennessee,2015,13,7,6
Rick Stockstill,Middle Tennessee,2016,13,8,5
Rick Stockstill,Middle Tennessee,2017,13,7,6
Rick Stockstill,Middle Tennessee,2018,14,8,6
Rick Stockstill,Middle Tennessee,2019,12,4,8
Rick Stockstill,Middle Tennessee,2020,9,3,6
Rick Stockstill,Middle Tennessee,2021,13,7,6
Rick Stockstill,Middle Tennessee,2022,13,8,5
Rick Stockstill,Middle Tennessee,2023,2,0,2
Nelson Stokley,Louisiana,1986,11,6,5
Nelson Stokley,Louisiana,1987,11,6,5
Nelson Stokley,Louisiana,1988,11,6,5
Nelson Stokley,Louisiana,1989,11,7,4
Nelson Stokley,Louisiana,1990,11,5,6
Nelson Stokley,Louisiana,1991,11,2,8
Nelson Stokley,Louisiana,1992,11,2,9
Nelson Stokley,Louisiana,1993,11,8,3
Nelson Stokley,Louisiana,1994,11,6,5
Nelson Stokley,Louisiana,1995,11,6,5
Nelson Stokley,Louisiana,1996,11,5,6
Nelson Stokley,Louisiana,1997,11,1,10
Nelson Stokley,Louisiana,1998,11,2,9
Cal Stoll,Wake Forest,1969,10,3,7
Cal Stoll,Wake Forest,1970,11,6,5
Cal Stoll,Wake Forest,1971,11,6,5
Cal Stoll,Minnesota,1972,11,4,7
Cal Stoll,Minnesota,1973,11,7,4
Cal Stoll,Minnesota,1974,11,4,7
Cal Stoll,Minnesota,1975,11,6,5
Cal Stoll,Minnesota,1976,11,6,5
Cal Stoll,Minnesota,1977,12,7,5
Cal Stoll,Minnesota,1978,11,5,6
Dennis Stolz,Michigan State,1973,11,5,6
Dennis Stolz,Michigan State,1974,11,7,3
Dennis Stolz,Michigan State,1975,11,7,4
Dennis Stolz,Bowling Green,1977,12,5,7
Dennis Stolz,Bowling Green,1978,11,4,7
Dennis Stolz,Bowling Green,1979,11,4,7
Dennis Stolz,Bowling Green,1980,11,4,7
Dennis Stolz,Bowling Green,1981,11,5,5
