name,team,conference,year,pick,round,position
Cedrick Wilson,Boise State,Mountain West,2018,34,6,Wide Receiver
Cornell Armstrong,Southern Mississippi,Conference USA,2018,35,6,Cornerback
Braxton Berrios,Miami,ACC,2018,36,6,Wide Receiver
Jordan Thomas,Mississippi State,SEC,2018,37,6,Tight End
Greg Senat,Wagner,NEC,2018,38,6,Offensive Tackle
Colby Gossett,Appalachian State,Sun Belt,2018,39,6,Offensive Guard
Peter Kalambayi,Stanford,Pac-12,2018,40,6,Outside Linebacker
Bradley Bozeman,Alabama,SEC,2018,41,6,Center
Azeem Victor,Washington,Pac-12,2018,42,6,Inside Linebacker
Keishawn Bierria,Washington,Pac-12,2018,43,6,Outside Linebacker
Ade Aruna,Tulane,American Athletic,2018,44,6,Defensive End
Danny Etling,LSU,SEC,2018,1,7,Quarterback
Alex Mcgough,Florida International,Conference USA,2018,2,7,Quarterback
Matthew Adams,Houston,American Athletic,2018,3,7,Inside Linebacker
Jermaine Kelly,San José State,Mountain West,2018,4,7,Cornerback
Jullian Taylor,Temple,American Athletic,2018,5,7,Defensive Tackle
Javon Wims,Georgia,SEC,2018,6,7,Wide Receiver
Devante Downs,California,Pac-12,2018,7,7,Cornerback
David Williams,Arkansas,SEC,2018,8,7,Running Back
Quentin Poling,Ohio,Mid-American,2018,9,7,Inside Linebacker
Marcell Ateman,Oklahoma State,Big 12,2018,10,7,Wide Receiver
Jason Sanders,New Mexico,Mountain West,2018,11,7,Place Kicker
Leon Jacobs,Wisconsin,Big Ten,2018,12,7,Outside Linebacker
Travin Howard,TCU,Big 12,2018,13,7,Outside Linebacker
James Looney,California,Pac-12,2018,14,7,Defensive Tackle
Jordan Mailata,Australia,,2018,15,7,Offensive Tackle
Andre Smith,North Carolina,ACC,2018,16,7,Inside Linebacker
Zaire Franklin,Syracuse,ACC,2018,17,7,Inside Linebacker
Bo Scarbrough,Alabama,SEC,2018,18,7,Running Back
Nick Bawden,San Diego State,Mountain West,2018,19,7,Fullback
Zach Sieler,Ferris State,GLIAC,2018,20,7,Defensive End
Hunter Bradley,Mississippi State,SEC,2018,21,7,Long Snapper
Richie James,Middle Tennessee,Conference USA,2018,22,7,Wide Receiver
Greg Stroman,Virginia Tech,ACC,2018,23,7,Cornerback
Kendrick Norton,Miami,ACC,2018,24,7,Defensive Tackle
Keion Crossen,Western Carolina,Southern,2018,25,7,Cornerback
Justin Lawler,SMU,American Athletic,2018,26,7,Defensive End
Will Clapp,LSU,SEC,2018,27,7,Offensive Guard
Joshua Frazier,Alabama,SEC,2018,28,7,Defensive Tackle
Logan Cooke,Mississippi State,SEC,2018,29,7,Punter
Kendall Donnerson,Southeast Missouri State,OVC,2018,30,7,Outside Linebacker
Logan Woodside,Toledo,Mid-American,2018,31,7,Quarterback
Ryan Izzo,Florida State,ACC,2018,32,7,Tight End
Justin Jackson,Northwestern,Big Ten,2018,33,7,Running Back
Rod Taylor,Ole Miss,SEC,2018,34,7,Offensive Guard
Auden Tate,Florida State,ACC,2018,35,7,Wide Receiver
Korey Cunningham,Cincinnati,American Athletic,2018,36,7,Offensive Tackle
Austin Proehl,North Carolina,ACC,2018,37,7,Wide Receiver
Trey Quinn,SMU,American Athletic,2018,38,7,Wide Receiver
Kyler Murray,Oklahoma,Big 12,2019,1,1,Quarterback
Nick Bosa,Ohio State,Big Ten,2019,2,1,Defensive End
Quinnen Williams,Alabama,SEC,2019,3,1,Defensive Tackle
Clelin Ferrell,Clemson,ACC,2019,4,1,Defensive End
Devin White,LSU,SEC,2019,5,1,Inside Linebacker
Daniel Jones,Duke,ACC,2019,6,1,Quarterback
Josh Allen,Kentucky,SEC,2019,7,1,Outside Linebacker
T.J. Hockenson,Iowa,Big Ten,2019,8,1,Tight End
Ed Oliver,Houston,American Athletic,2019,9,1,Defensive Tackle
Devin Bush,Michigan,Big Ten,2019,10,1,Inside Linebacker
Jonah Williams,Alabama,SEC,2019,11,1,Offensive Tackle
Rashan Gary,Michigan,Big Ten,2019,12,1,Defensive End
Christian Wilkins,Clemson,ACC,2019,13,1,Defensive Tackle
Chris Lindstrom,Boston College,ACC,2019,14,1,Offensive Guard
Dwayne Haskins,Ohio State,Big Ten,2019,15,1,Quarterback
Brian Burns,Florida State,ACC,2019,16,1,Outside Linebacker
Dexter Lawrence,Clemson,ACC,2019,17,1,Defensive Tackle
Garrett Bradbury,NC State,ACC,2019,18,1,Center
Jeffery Simmons,Mississippi State,SEC,2019,19,1,Defensive Tackle
Noah Fant,Iowa,Big Ten,2019,20,1,Tight End
Darnell Savage Jr.,Maryland,Big Ten,2019,21,1,Safety
Andre Dillard,Washington State,Pac-12,2019,22,1,Offensive Tackle
Tytus Howard,Alabama State,SWAC,2019,23,1,Offensive Tackle
Josh Jacobs,Alabama,SEC,2019,24,1,Running Back
Marquise Brown,Oklahoma,Big 12,2019,25,1,Wide Receiver
Montez Sweat,Mississippi State,SEC,2019,26,1,Defensive End
Johnathan Abram,Mississippi State,SEC,2019,27,1,Safety
Jerry Tillery,Notre Dame,FBS Independents,2019,28,1,Defensive Tackle
L.J. Collier,TCU,Big 12,2019,29,1,Defensive End
Deandre Baker,Georgia,SEC,2019,30,1,Cornerback
Kaleb McGary,Washington,Pac-12,2019,31,1,Offensive Tackle
N'Keal Harry,Arizona State,Pac-12,2019,32,1,Wide Receiver
Byron Murphy,Washington,Pac-12,2019,1,2,Cornerback
Rock Ya-Sin,Temple,American Athletic,2019,2,2,Cornerback
Jawaan Taylor,Florida,SEC,2019,3,2,Offensive Tackle
Deebo Samuel,South Carolina,SEC,2019,4,2,Wide Receiver
Greg Little,Ole Miss,SEC,2019,5,2,Offensive Tackle
Cody Ford,Oklahoma,Big 12,2019,6,2,Offensive Tackle
Sean Bunting,Central Michigan,Mid-American,2019,7,2,Cornerback
Trayvon Mullen,Clemson,ACC,2019,8,2,Cornerback
Dalton Risner,Kansas State,Big 12,2019,9,2,Offensive Tackle
Drew Lock,Missouri,SEC,2019,10,2,Quarterback
Jahlani Tavai,Hawai'i,Mountain West,2019,11,2,Inside Linebacker
Elgton Jenkins,Mississippi State,SEC,2019,12,2,Center
Joejuan Williams,Vanderbilt,SEC,2019,13,2,Cornerback
Greedy Williams,LSU,SEC,2019,14,2,Cornerback
Marquise Blair,Utah,Pac-12,2019,15,2,Safety
Erik McCoy,Texas A&M,SEC,2019,16,2,Center
Ben Banogu,TCU,Big 12,2019,17,2,Outside Linebacker
Irv Smith Jr.,Alabama,SEC,2019,18,2,Tight End
A.J. Brown,Ole Miss,SEC,2019,19,2,Wide Receiver
Drew Sample,Washington,Pac-12,2019,20,2,Tight End
Miles Sanders,Penn State,Big Ten,2019,21,2,Running Back
Lonnie Johnson Jr.,Kentucky,SEC,2019,22,2,Cornerback
Max Scharping,Northern Illinois,Mid-American,2019,23,2,Offensive Tackle
Mecole Hardman,Georgia,SEC,2019,24,2,Wide Receiver
JJ Arcega-Whiteside,Stanford,Pac-12,2019,25,2,Wide Receiver
Trysten Hill,UCF,American Athletic,2019,26,2,Defensive Tackle
Parris Campbell,Ohio State,Big Ten,2019,27,2,Wide Receiver
Nasir Adderley,Delaware,CAA,2019,28,2,Safety
Taylor Rapp,Washington,Pac-12,2019,29,2,Safety
Andy Isabella,UMass,FBS Independents,2019,30,2,Wide Receiver
Juan Thornhill,Virginia,ACC,2019,31,2,Safety
DK Metcalf,Ole Miss,SEC,2019,32,2,Wide Receiver
Zach Allen,Boston College,ACC,2019,1,3,Defensive End
Diontae Johnson,Toledo,Mid-American,2019,2,3,Wide Receiver
Jalen Hurd,Baylor,Big 12,2019,3,3,Wide Receiver
Jachai Polite,Florida,SEC,2019,4,3,Defensive End
Josh Oliver,San José State,Mountain West,2019,5,3,Tight End
Darrell Henderson,Memphis,American Athletic,2019,6,3,Running Back
Dre'Mont Jones,Ohio State,Big Ten,2019,7,3,Defensive Tackle
Germaine Pratt,NC State,ACC,2019,8,3,Outside Linebacker
David Montgomery,Iowa State,Big 12,2019,9,3,Running Back
Devin Singletary,Florida Atlantic,Conference USA,2019,10,3,Running Back
Jace Sternberger,Texas A&M,SEC,2019,11,3,Tight End
Terry McLaurin,Ohio State,Big Ten,2019,12,3,Wide Receiver
Chase Winovich,Michigan,Big Ten,2019,13,3,Defensive End
Michael Deiter,Wisconsin,Big Ten,2019,14,3,Offensive Guard
David Long,Michigan,Big Ten,2019,15,3,Cornerback
Sione Takitaki,BYU,FBS Independents,2019,16,3,Outside Linebacker
Will Harris,Boston College,ACC,2019,17,3,Safety
Nate Davis,Charlotte,Conference USA,2019,18,3,Offensive Guard
Justin Layne,Michigan State,Big Ten,2019,19,3,Cornerback
Khalen Saunders,Western Illinois,MVFC,2019,20,3,Defensive Tackle
Jaylon Ferguson,Louisiana Tech,Conference USA,2019,21,3,Defensive End
Kahale Warring,San Diego State,Mountain West,2019,22,3,Tight End
Damien Harris,Alabama,SEC,2019,23,3,Running Back
Cody Barton,Utah,Pac-12,2019,24,3,Outside Linebacker
Bobby Okereke,Stanford,Pac-12,2019,25,3,Outside Linebacker
Connor McGovern,Penn State,Big Ten,2019,26,3,Offensive Guard
Trey Pipkins,Sioux Falls,Northern Sun,2019,27,3,Offensive Tackle
Chuma Edoga,USC,Pac-12,2019,28,3,Offensive Tackle
Miles Boykin,Notre Dame,FBS Independents,2019,29,3,Wide Receiver
Jamel Dean,Auburn,SEC,2019,30,3,Cornerback
Oshane Ximines,Old Dominion,Conference USA,2019,31,3,Defensive End
Dawson Knox,Ole Miss,SEC,2019,32,3,Tight End
Bobby Evans,Oklahoma,Big 12,2019,33,3,Offensive Tackle
Quincy Williams,Murray State,OVC,2019,34,3,Safety
Mike Edwards,Kentucky,SEC,2019,35,3,Safety
Will Grier,West Virginia,Big 12,2019,36,3,Quarterback
Yodny Cajuste,West Virginia,Big 12,2019,37,3,Offensive Tackle
Alexander Mattison,Boise State,Mountain West,2019,38,3,Running Back
Hakeem Butler,Iowa State,Big 12,2019,1,4,Wide Receiver
Ryan Finley,NC State,ACC,2019,2,4,Quarterback
Chauncey Gardner-Johnson,Florida,SEC,2019,3,4,Safety
Maxx Crosby,Eastern Michigan,Mid-American,2019,4,4,Defensive End
Anthony Nelson,Iowa,Big Ten,2019,5,4,Defensive End
Julian Love,Notre Dame,FBS Independents,2019,6,4,Cornerback
Khari Willis,Michigan State,Big Ten,2019,7,4,Safety
Mitch Wishnowsky,Utah,Pac-12,2019,8,4,Punter
Kendall Sheffield,Ohio State,Big Ten,2019,9,4,Cornerback
Bryce Love,Stanford,Pac-12,2019,10,4,Running Back
Justice Hill,Oklahoma State,Big 12,2019,11,4,Running Back
Dru Samia,Oklahoma,Big 12,2019,12,4,Offensive Guard
Christian Miller,Alabama,SEC,2019,13,4,Outside Linebacker
Amani Hooker,Iowa,Big Ten,2019,14,4,Safety
Austin Bryant,Clemson,ACC,2019,15,4,Defensive End
Hjalte Froholdt,Arkansas,SEC,2019,16,4,Offensive Guard
Sheldrick Redwine,Miami,ACC,2019,17,4,Safety
Gary Jennings Jr.,West Virginia,Big 12,2019,18,4,Wide Receiver
Trevon Wesco,West Virginia,Big 12,2019,19,4,Tight End
Benny Snell Jr.,Kentucky,SEC,2019,20,4,Running Back
Ben Powers,Oklahoma,Big 12,2019,21,4,Offensive Guard
Phil Haynes,Wake Forest,ACC,2019,22,4,Offensive Guard
Renell Wren,Arizona State,Pac-12,2019,23,4,Defensive Tackle
Riley Ridley,Georgia,SEC,2019,24,4,Wide Receiver
Iman Marshall,USC,Pac-12,2019,25,4,Cornerback
Tony Pollard,Memphis,American Athletic,2019,26,4,Running Back
Isaiah Johnson,Houston,American Athletic,2019,27,4,Cornerback
Drue Tranquill,Notre Dame,FBS Independents,2019,28,4,Inside Linebacker
Wes Martin,Indiana,Big Ten,2019,29,4,Offensive Guard
Ugochukwu Amadi,Oregon,Pac-12,2019,30,4,Safety
Jarrett Stidham,Auburn,SEC,2019,31,4,Quarterback
Greg Gaines,Washington,Pac-12,2019,32,4,Defensive Tackle
John Cominsky,Charleston (WV),Mountain East,2019,33,4,Defensive End
Michael Jordan,Ohio State,Big Ten,2019,34,4,Offensive Guard
Foster Moreau,LSU,SEC,2019,35,4,Tight End
Shareef Miller,Penn State,Big Ten,2019,36,4,Defensive End
Deionte Thompson,Alabama,SEC,2019,1,5,Safety
Ryquell Armstead,Temple,American Athletic,2019,2,5,Running Back
Zach Gentry,Michigan,Big Ten,2019,3,5,Tight End
Ben Burr-Kirven,Washington,Pac-12,2019,4,5,Inside Linebacker
Ryan Connelly,Wisconsin,Big Ten,2019,5,5,Inside Linebacker
Marvell Tell III,USC,Pac-12,2019,6,5,Safety
Matt Gay,Utah,Pac-12,2019,7,5,Place Kicker
Amani Oruwariye,Penn State,Big Ten,2019,8,5,Cornerback
Vosean Joseph,Florida,SEC,2019,9,5,Outside Linebacker
Dre Greenlaw,Arkansas,SEC,2019,10,5,Outside Linebacker
Hunter Renfrow,Clemson,ACC,2019,11,5,Wide Receiver
Kingsley Keke,Texas A&M,SEC,2019,12,5,Defensive Tackle
Andrew Van Ginkel,Wisconsin,Big Ten,2019,13,5,Outside Linebacker
Qadree Ollison,Pittsburgh,ACC,2019,14,5,Running Back
Ross Pierschbacher,Alabama,SEC,2019,15,5,Offensive Guard
Jordan Scarlett,Florida,SEC,2019,16,5,Running Back
Mack Wilson,Alabama,SEC,2019,17,5,Inside Linebacker
Justin Hollins,Oregon,Pac-12,2019,18,5,Outside Linebacker
Blake Cashman,Minnesota,Big Ten,2019,19,5,Inside Linebacker
Michael Jackson,Miami,ACC,2019,20,5,Cornerback
Byron Cowart,Maryland,Big Ten,2019,21,5,Defensive Tackle
Daylon Mack,Texas A&M,SEC,2019,22,5,Defensive Tackle
Charles Omenihu,Texas,Big 12,2019,23,5,Defensive End
Cameron Smith,USC,Pac-12,2019,24,5,Inside Linebacker
Jake Bailey,Stanford,Pac-12,2019,25,5,Punter
E.J. Speed,Tarleton State,Lone Star,2019,26,5,Inside Linebacker
Joe Jackson,Miami,ACC,2019,27,5,Defensive End
Easton Stick,North Dakota State,MVFC,2019,28,5,Quarterback
Clayton Thorson,Northwestern,Big Ten,2019,29,5,Quarterback
D'Andre Walker,Georgia,SEC,2019,30,5,Outside Linebacker
David Edwards,Wisconsin,Big Ten,2019,31,5,Offensive Tackle
Austin Seibert,Oklahoma,Big 12,2019,32,5,Place Kicker
Darius Slayton,Auburn,SEC,2019,33,5,Wide Receiver
Jordan Miller,Washington,Pac-12,2019,34,5,Cornerback
Cole Holcomb,North Carolina,ACC,2019,35,5,Outside Linebacker
Keesean Johnson,Fresno State,Mountain West,2019,1,6,Wide Receiver
Sutton Smith,Northern Illinois,Mid-American,2019,2,6,Outside Linebacker
Kaden Smith,Stanford,Pac-12,2019,3,6,Tight End
Saquan Hampton,Rutgers,Big Ten,2019,4,6,Safety
Gardner Minshew,Washington State,Pac-12,2019,5,6,Quarterback
Lamont Gaillard,Georgia,SEC,2019,6,6,Center
Corey Ballentine,Washburn,Mid America,2019,7,6,Cornerback
Jaquan Johnson,Miami,ACC,2019,8,6,Safety
Trayveon Williams,Texas A&M,SEC,2019,9,6,Running Back
Justin Skule,Vanderbilt,SEC,2019,10,6,Offensive Tackle
Travis Fulgham,Old Dominion,Conference USA,2019,11,6,Wide Receiver
Ka'dar Hollman,Toledo,Mid-American,2019,12,6,Cornerback
Ty Johnson,Maryland,Big Ten,2019,13,6,Running Back
Juwann Winfree,Colorado,Pac-12,2019,14,6,Wide Receiver
David Long Jr.,West Virginia,Big 12,2019,15,6,Outside Linebacker
Drew Forbes,Southeast Missouri State,OVC,2019,16,6,Offensive Tackle
Armon Watts,Arkansas,SEC,2019,17,6,Defensive Tackle
Marcus Epps,Wyoming,Mountain West,2019,18,6,Safety
Isaiah Buggs,Alabama,SEC,2019,19,6,Defensive Tackle
Olisaemeka Udoh,Elon,CAA,2019,20,6,Offensive Tackle
Dexter Williams,Notre Dame,FBS Independents,2019,21,6,Running Back
Xavier Crawford,Central Michigan,Mid-American,2019,22,6,Cornerback
Blessuan Austin,Rutgers,Big Ten,2019,23,6,Cornerback
Trace McSorley,Penn State,Big Ten,2019,24,6,Quarterback
Tim  Harris,Virginia,ACC,2019,25,6,Cornerback
Gerri Green,Mississippi State,SEC,2019,26,6,Outside Linebacker
Emeke Egbule,Houston,American Athletic,2019,27,6,Outside Linebacker
Rashad Fenton,South Carolina,SEC,2019,28,6,Cornerback
Isaiah Prince,Ohio State,Big Ten,2019,29,6,Offensive Tackle
Marcus Green,Louisiana Monroe,Sun Belt,2019,30,6,Wide Receiver
Travis Homer,Miami,ACC,2019,31,6,Running Back
Duke Shelley,Kansas State,Big 12,2019,32,6,Cornerback
Kelvin Harmon,NC State,ACC,2019,33,6,Wide Receiver
Ulysees Gilbert III,Akron,Mid-American,2019,34,6,Inside Linebacker
Scott Miller,Bowling Green,Mid-American,2019,35,6,Wide Receiver
Demarcus Christmas,Florida State,ACC,2019,36,6,Defensive Tackle
Deshaun Davis,Auburn,SEC,2019,37,6,Inside Linebacker
Rodney Anderson,Oklahoma,Big 12,2019,38,6,Running Back
Dennis Daley,South Carolina,SEC,2019,39,6,Offensive Tackle
Donovan Wilson,Texas A&M,SEC,2019,40,6,Safety
Darwin Thompson,Utah State,Mountain West,2019,41,6,Running Back
Terry Beckner Jr.,Missouri,SEC,2019,1,7,Defensive Tackle
Nick Allegretti,Illinois,Big Ten,2019,2,7,Center
Kris Boyd,Texas,Big 12,2019,3,7,Cornerback
Mike Weber,Ohio State,Big Ten,2019,4,7,Running Back
Derwin Gray,Maryland,Big Ten,2019,5,7,Offensive Guard
Cullen Gillaspia,Texas A&M,SEC,2019,6,7,Running Back
Donnie Lewis Jr.,Tulane,American Athletic,2019,7,7,Cornerback
Kerrith Whyte Jr.,Florida Atlantic,Conference USA,2019,8,7,Running Back
Jordan Brown,South Dakota State,MVFC,2019,9,7,Cornerback
Isaac Nauta,Georgia,SEC,2019,10,7,Tight End
Darryl Johnson Jr.,North Carolina A&T,MEAC,2019,11,7,Outside Linebacker
Ty Summers,TCU,Big 12,2019,12,7,Inside Linebacker
Jimmy Moreland,James Madison,CAA,2019,13,7,Cornerback
Tommy Sweeney,Boston College,ACC,2019,14,7,Tight End
PJ Johnson,Arizona,Pac-12,2019,15,7,Defensive Tackle
Quinton Bell,Prairie View,SWAC,2019,16,7,Defensive End
Alize Mack,Notre Dame,FBS Independents,2019,17,7,Tight End
George Asafo-Adjei,Kentucky,SEC,2019,18,7,Offensive Guard
Chandler Cox,Auburn,SEC,2019,19,7,Fullback
Myles Gaskin,Washington,Pac-12,2019,20,7,Running Back
Dontavius Russell,Auburn,SEC,2019,21,7,Defensive Tackle
John Ursua,Hawai'i,Mountain West,2019,22,7,Wide Receiver
Terry Godwin,Georgia,SEC,2019,23,7,Wide Receiver
Stephen Denmark,Valdosta State,Gulf South,2019,24,7,Cornerback
Dillon Mitchell,Oregon,Pac-12,2019,25,7,Wide Receiver
Jackson Barton,Utah,Pac-12,2019,26,7,Offensive Tackle
Jalen Jelks,Oregon,Pac-12,2019,27,7,Defensive End
Cortez Broughton,Cincinnati,American Athletic,2019,28,7,Defensive Tackle
Nick Scott,Penn State,Big Ten,2019,29,7,Safety
Kaden Elliss,Idaho,Big Sky,2019,30,7,Outside Linebacker
Chris Slayton,Syracuse,ACC,2019,31,7,Defensive Tackle
Javon Patterson,Ole Miss,SEC,2019,32,7,Center
Olabisi Johnson,Colorado State,Mountain West,2019,33,7,Wide Receiver
Joshua Miles,Morgan State,MEAC,2019,34,7,Offensive Tackle
Michael Dogbe,Temple,American Athletic,2019,35,7,Defensive End
Austin Cutting,Air Force,Mountain West,2019,36,7,Long Snapper
Dakota Allen,Texas Tech,Big 12,2019,37,7,Inside Linebacker
Ken Webster,Ole Miss,SEC,2019,38,7,Cornerback
Jordan Brailford,Oklahoma State,Big 12,2019,39,7,Defensive End
Caleb Wilson,UCLA,Pac-12,2019,40,7,Tight End
Joe Burrow,LSU,SEC,2020,1,1,Quarterback
Chase Young,Ohio State,Big Ten,2020,2,1,Defensive End
Jeff Okudah,Ohio State,Big Ten,2020,3,1,Cornerback
Andrew Thomas,Georgia,SEC,2020,4,1,Offensive Tackle
Tua Tagovailoa,Alabama,SEC,2020,5,1,Quarterback
Justin Herbert,Oregon,Pac-12,2020,6,1,Quarterback
Derrick Brown,Auburn,SEC,2020,7,1,Defensive Tackle
Isaiah Simmons,Clemson,ACC,2020,8,1,Outside Linebacker
CJ Henderson,Florida,SEC,2020,9,1,Cornerback
Jedrick Wills Jr.,Alabama,SEC,2020,10,1,Offensive Tackle
Mekhi Becton,Louisville,ACC,2020,11,1,Offensive Tackle
Henry Ruggs III,Alabama,SEC,2020,12,1,Wide Receiver
Tristan Wirfs,Iowa,Big Ten,2020,13,1,Offensive Tackle
Javon Kinlaw,South Carolina,SEC,2020,14,1,Defensive Tackle
Jerry Jeudy,Alabama,SEC,2020,15,1,Wide Receiver
A.J. Terrell,Clemson,ACC,2020,16,1,Cornerback
CeeDee Lamb,Oklahoma,Big 12,2020,17,1,Wide Receiver
Austin Jackson,USC,Pac-12,2020,18,1,Offensive Tackle
Damon Arnette,Ohio State,Big Ten,2020,19,1,Cornerback
K'Lavon Chaisson,LSU,SEC,2020,20,1,Outside Linebacker
Jalen Reagor,TCU,Big 12,2020,21,1,Wide Receiver
Justin Jefferson,LSU,SEC,2020,22,1,Wide Receiver
Kenneth Murray,Oklahoma,Big 12,2020,23,1,Inside Linebacker
Cesar Ruiz,Michigan,Big Ten,2020,24,1,Center
Brandon Aiyuk,Arizona State,Pac-12,2020,25,1,Wide Receiver
Jordan Love,Utah State,Mountain West,2020,26,1,Quarterback
Jordyn Brooks,Texas Tech,Big 12,2020,27,1,Outside Linebacker
Patrick Queen,LSU,SEC,2020,28,1,Inside Linebacker
Isaiah Wilson,Georgia,SEC,2020,29,1,Offensive Tackle
Noah Igbinoghene,Auburn,SEC,2020,30,1,Cornerback
Jeff Gladney,TCU,Big 12,2020,31,1,Cornerback
Clyde Edwards-Helaire,LSU,SEC,2020,32,1,Running Back
Tee Higgins,Clemson,ACC,2020,1,2,Wide Receiver
Michael Pittman Jr.,USC,Pac-12,2020,2,2,Wide Receiver
D'Andre Swift,Georgia,SEC,2020,3,2,Running Back
Xavier McKinney,Alabama,SEC,2020,4,2,Safety
Kyle Dugger,Lenoir-Rhyne,South Atlantic,2020,5,2,Safety
Yetur Gross-Matos,Penn State,Big Ten,2020,6,2,Defensive End
Robert Hunt,Louisiana,Sun Belt,2020,7,2,Offensive Guard
Ross Blacklock,TCU,Big 12,2020,8,2,Defensive Tackle
Jonathan Taylor,Wisconsin,Big Ten,2020,9,2,Running Back
Laviska Shenault Jr.,Colorado,Pac-12,2020,10,2,Wide Receiver
Cole Kmet,Notre Dame,FBS Independents,2020,11,2,Tight End
Grant Delpit,LSU,SEC,2020,12,2,Safety
Antoine Winfield Jr.,Minnesota,Big Ten,2020,13,2,Safety
KJ Hamler,Penn State,Big Ten,2020,14,2,Wide Receiver
Marlon Davidson,Auburn,SEC,2020,15,2,Defensive Tackle
Darrell Taylor,Tennessee,SEC,2020,16,2,Defensive End
Chase Claypool,Notre Dame,FBS Independents,2020,17,2,Wide Receiver
Jaylon Johnson,Utah,Pac-12,2020,18,2,Cornerback
Trevon Diggs,Alabama,SEC,2020,19,2,Cornerback
Cam Akers,Florida State,ACC,2020,20,2,Running Back
Jalen Hurts,Oklahoma,Big 12,2020,21,2,Quarterback
AJ Epenesa,Iowa,Big Ten,2020,22,2,Defensive End
J.K. Dobbins,Ohio State,Big Ten,2020,23,2,Running Back
Raekwon Davis,Alabama,SEC,2020,24,2,Defensive Tackle
Van Jefferson,Florida,SEC,2020,25,2,Wide Receiver
Ezra Cleveland,Boise State,Mountain West,2020,26,2,Offensive Tackle
Denzel Mims,Baylor,Big 12,2020,27,2,Wide Receiver
Josh Uche,Michigan,Big Ten,2020,28,2,Defensive End
Kristian Fulton,LSU,SEC,2020,29,2,Cornerback
AJ Dillon,Boston College,ACC,2020,30,2,Running Back
Willie Gay Jr.,Mississippi State,SEC,2020,31,2,Inside Linebacker
Jeremy Chinn,Southern Illinois,MVFC,2020,32,2,Safety
Logan Wilson,Wyoming,Mountain West,2020,1,3,Inside Linebacker
Antonio Gibson,Memphis,American Athletic,2020,2,3,Wide Receiver
Julian Okwara,Notre Dame,FBS Independents,2020,3,3,Outside Linebacker
Ashtyn Davis,California,Pac-12,2020,4,3,Safety
Damien Lewis,LSU,SEC,2020,5,3,Offensive Guard
Brandon Jones,Texas,Big 12,2020,6,3,Safety
Justin Madubuike,Texas A&M,SEC,2020,7,3,Defensive Tackle
Josh Jones,Houston,American Athletic,2020,8,3,Offensive Tackle
Davon Hamilton,Ohio State,Big Ten,2020,9,3,Defensive Tackle
Zack Baun,Wisconsin,Big Ten,2020,10,3,Outside Linebacker
Jonah Jackson,Ohio State,Big Ten,2020,11,3,Offensive Guard
Ke'Shawn Vaughn,Vanderbilt,SEC,2020,12,3,Running Back
Michael Ojemudia,Iowa,Big Ten,2020,13,3,Cornerback
Matt Hennessy,Temple,American Athletic,2020,14,3,Center
Jabari Zuniga,Florida,SEC,2020,15,3,Defensive End
Lynn Bowden Jr.,Kentucky,SEC,2020,16,3,Wide Receiver
Bryan Edwards,South Carolina,SEC,2020,17,3,Wide Receiver
Neville Gallimore,Oklahoma,Big 12,2020,18,3,Defensive Tackle
Lloyd Cushenberry III,LSU,SEC,2020,19,3,Center
Terrell Lewis,Alabama,SEC,2020,20,3,Outside Linebacker
Julian Blackmon,Utah,Pac-12,2020,21,3,Safety
Zack Moss,Utah,Pac-12,2020,22,3,Running Back
Anfernee Jennings,Alabama,SEC,2020,23,3,Outside Linebacker
Jordan Elliott,Missouri,SEC,2020,24,3,Defensive Tackle
Cameron Dantzler,Mississippi State,SEC,2020,25,3,Cornerback
Jonathan Greenard,Florida,SEC,2020,26,3,Outside Linebacker
Devin Asiasi,UCLA,Pac-12,2020,27,3,Tight End
Devin Duvernay,Texas,Big 12,2020,28,3,Wide Receiver
Darrynton Evans,Appalachian State,Sun Belt,2020,29,3,Running Back
Josiah Deguara,Cincinnati,American Athletic,2020,30,3,Tight End
McTelvin Agim,Arkansas,SEC,2020,31,3,Defensive Tackle
Lucas Niang,TCU,Big 12,2020,32,3,Offensive Tackle
Jacob Phillips,LSU,SEC,2020,33,3,Inside Linebacker
Malik Harrison,Ohio State,Big Ten,2020,34,3,Inside Linebacker
Matt Peart,Connecticut,American Athletic,2020,35,3,Offensive Tackle
Tanner Muse,Clemson,ACC,2020,36,3,Safety
Dalton Keene,Virginia Tech,ACC,2020,37,3,Tight End
Alex Highsmith,Charlotte,Conference USA,2020,38,3,Outside Linebacker
Davion Taylor,Colorado,Pac-12,2020,39,3,Outside Linebacker
Terrell Burgess,Utah,Pac-12,2020,40,3,Safety
Adam Trautman,Dayton,Pioneer,2020,41,3,Tight End
Tyre Phillips,Mississippi State,SEC,2020,42,3,Offensive Tackle
Akeem Davis-Gaither,Appalachian State,Sun Belt,2020,1,4,Outside Linebacker
Saahdiq Charles,LSU,SEC,2020,2,4,Offensive Tackle
John Simpson,Clemson,ACC,2020,3,4,Offensive Guard
Darnay Holmes,UCLA,Pac-12,2020,4,4,Cornerback
Solomon Kindley,Georgia,SEC,2020,5,4,Offensive Guard
Joshua Kelley,UCLA,Pac-12,2020,6,4,Running Back
Troy Pride Jr.,Notre Dame,FBS Independents,2020,7,4,Cornerback
Leki Fotu,Utah,Pac-12,2020,8,4,Defensive Tackle
Harrison Bryant,Florida Atlantic,Conference USA,2020,9,4,Tight End
Ben Bartch,St. Johns (MN),Minnesota,2020,10,4,Offensive Tackle
