name,team,conference,year,pick,round,position
Damione Lewis,Miami,Big East,2001,12,1,Defensive Tackle
Marcus Stroud,Georgia,SEC,2001,13,1,Defensive Tackle
Kenyatta Walker,Florida,SEC,2001,14,1,Offensive Tackle
Rod Gardner,Clemson,ACC,2001,15,1,Wide Receiver
Santana Moss,Miami,Big East,2001,16,1,Wide Receiver
Steve Hutchinson,Michigan,Big Ten,2001,17,1,Offensive Guard
Jeff Backus,Michigan,Big Ten,2001,18,1,Offensive Tackle
Casey Hampton,Texas,Big 12,2001,19,1,Defensive Tackle
Adam Archuleta,Arizona State,Pac-10,2001,20,1,Defensive Back
Nate Clements,Ohio State,Big Ten,2001,21,1,Defensive Back
Will Allen,Syracuse,Big East,2001,22,1,Defensive Back
Deuce McAllister,Ole Miss,SEC,2001,23,1,Running Back
Willie Middlebrooks,Minnesota,Big Ten,2001,24,1,Defensive Back
Freddie Mitchell,UCLA,Pac-10,2001,25,1,Wide Receiver
Jamar Fletcher,Wisconsin,Big Ten,2001,26,1,Defensive Back
Michael Bennett,Wisconsin,Big Ten,2001,27,1,Running Back
Derrick Gibson,Florida State,ACC,2001,28,1,Defensive Back
Ryan Pickett,Ohio State,Big Ten,2001,29,1,Defensive Tackle
Reggie Wayne,Miami,Big East,2001,30,1,Wide Receiver
Todd Heap,Arizona State,Pac-10,2001,31,1,Tight End
Drew Brees,Purdue,Big Ten,2001,1,2,Quarterback
Quincy Morgan,Kansas State,Big 12,2001,2,2,Wide Receiver
Kyle Vanden Bosch,Nebraska,Big 12,2001,3,2,Defensive End
Alge Crumpler,North Carolina,ACC,2001,4,2,Tight End
Chad Johnson,Oregon State,Pac-10,2001,5,2,Wide Receiver
Idrees Bashir,Memphis,Conference USA,2001,6,2,Defensive Back
Anthony Thomas,Michigan,Big Ten,2001,7,2,Running Back
Kendrell Bell,Georgia,SEC,2001,8,2,Linebacker
Ken Lucas,Ole Miss,SEC,2001,9,2,Defensive Back
Robert Ferguson,Texas A&M,Big 12,2001,10,2,Wide Receiver
Tommy Polley,Florida State,ACC,2001,11,2,Linebacker
Maurice Williams,Michigan,Big Ten,2001,12,2,Offensive Tackle
Kris Jenkins,Maryland,ACC,2001,13,2,Defensive Tackle
Fred Smoot,Mississippi State,SEC,2001,14,2,Defensive Back
Aaron Schobel,TCU,Western Athletic,2001,15,2,Defensive End
Jamie Winborn,Vanderbilt,SEC,2001,16,2,Linebacker
Matt Light,Purdue,Big Ten,2001,17,2,Offensive Guard
LaMont Jordan,Maryland,ACC,2001,18,2,Running Back
Dominic Raiola,Nebraska,Big 12,2001,19,2,Center
Paul Toviessi,Marshall,Mid-American,2001,20,2,Defensive End
Chris Chambers,Wisconsin,Big Ten,2001,21,2,Wide Receiver
Quincy Carter,Georgia,SEC,2001,22,2,Quarterback
Michael Stone,Memphis,Conference USA,2001,23,2,Defensive Back
Quinton Caver,Arkansas,SEC,2001,24,2,Linebacker
Tony Dixon,Alabama,SEC,2001,25,2,Defensive Back
Willie Howard,Stanford,Pac-10,2001,26,2,Defensive End
Travis Henry,Tennessee,SEC,2001,27,2,Running Back
Marques Tuiasosopo,Washington,Pac-10,2001,28,2,Quarterback
Andre Dyson,Utah,Mountain West,2001,29,2,Defensive Back
Shaun Rogers,Texas,Big 12,2001,30,2,Defensive Tackle
Gary Baxter,Baylor,Big 12,2001,31,2,Defensive Back
Derrick Burgess,Ole Miss,SEC,2001,1,3,Defensive End
Adrian Wilson,NC State,ACC,2001,2,3,Defensive Back
James Jackson,Miami,Big East,2001,3,3,Running Back
Sean Brewer,San José State,Western Athletic,2001,4,3,Tight End
Tay Cody,Florida State,ACC,2001,5,3,Defensive Back
Mike Gandy,Notre Dame,FBS Independents,2001,6,3,Offensive Guard
Eric Kelly,Kentucky,SEC,2001,7,3,Defensive Back
Sedrick Hodge,North Carolina,ACC,2001,8,3,Linebacker
Bhawoh Jue,Penn State,Big Ten,2001,9,3,Defensive Back
Torrance Marshall,Oklahoma,Big 12,2001,10,3,Linebacker
Eric Westmoreland,Tennessee,SEC,2001,11,3,Linebacker
Steve Smith,Utah,Mountain West,2001,12,3,Wide Receiver
Eric Downing,Syracuse,Big East,2001,13,3,Defensive Tackle
Ron Edwards,Texas A&M,Big 12,2001,14,3,Defensive Tackle
Marvin Minnis,Florida State,ACC,2001,15,3,Wide Receiver
William Peterson,Western Illinois,,2001,16,3,Defensive Back
Kareem McKenzie,Penn State,Big Ten,2001,17,3,Offensive Tackle
Kevan Barlow,Pittsburgh,Big East,2001,18,3,Running Back
Kenny Smith,Alabama,SEC,2001,19,3,Defensive Tackle
Heath Evans,Auburn,SEC,2001,20,3,Running Back
Brian Allen,Florida State,ACC,2001,21,3,Linebacker
Dwight Smith,Akron,Mid-American,2001,22,3,Defensive Back
Travis Minor,Florida State,ACC,2001,23,3,Running Back
Brock Williams,Notre Dame,FBS Independents,2001,24,3,Defensive Back
Reggie Hayward,Iowa State,Big 12,2001,25,3,Defensive End
Morlon Greenwood,Syracuse,Big East,2001,26,3,Linebacker
DeLawrence Grant,Oregon State,Pac-10,2001,27,3,Defensive End
Shad Meier,Kansas State,Big 12,2001,28,3,Tight End
Cory Bird,Virginia Tech,Big East,2001,29,3,Defensive Back
Casey Rabach,Wisconsin,Big Ten,2001,30,3,Center
Willie Blade,Mississippi State,SEC,2001,31,3,Defensive Tackle
James Boyd,Penn State,Big Ten,2001,32,3,Defensive Back
Jonas Jennings,Georgia,SEC,2001,33,3,Offensive Tackle
Kenyatta Jones,South Florida,FBS Independents,2001,1,4,Offensive Guard
