team,year,conference,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,sacks,tacklesForLoss,thirdDownConversions,thirdDowns,totalYards,turnovers
Texas A&M,2014,SEC,299.0,11.0,19.0,5.0,8.0,13.0,0.0,45.0,15.0,0.0,1170.0,52.0,3971.0,514.0,332.0,5.0,39.0,68.0,663.0,20423.0,0.0,274.0,21.0,421.0,20.0,1949.0,,,73.0,179.0,5920.0,20.0
Texas A&M,2015,SEC,293.0,6.0,20.0,9.0,7.0,13.0,2.0,140.0,15.0,0.0,718.0,38.0,3323.0,482.0,273.0,11.0,25.0,83.0,713.0,22003.0,2.0,374.0,19.0,505.0,13.0,2198.0,,,88.0,208.0,5521.0,24.0
Texas A&M,2016,SEC,281.0,10.0,18.0,12.0,8.0,13.0,0.0,19.0,9.0,0.0,967.0,41.0,3317.0,469.0,255.0,12.0,25.0,81.0,685.0,20678.0,4.0,355.0,15.0,484.0,28.0,2754.0,38.0,111.0,76.0,194.0,6071.0,21.0
Texas A&M,2017,SEC,260.0,7.0,14.0,7.0,12.0,13.0,2.0,75.0,12.0,1.0,905.0,42.0,3266.0,449.0,253.0,10.0,22.0,67.0,588.0,22766.0,2.0,240.0,14.0,506.0,26.0,2023.0,43.0,88.0,78.0,205.0,5289.0,19.0
Texas A&M,2018,SEC,336.0,5.0,10.0,8.0,4.0,13.0,1.0,115.0,9.0,1.0,550.0,22.0,3275.0,439.0,253.0,7.0,25.0,79.0,653.0,26806.0,0.0,209.0,24.0,537.0,28.0,2854.0,39.0,99.0,70.0,169.0,6129.0,17.0
Texas A&M,2019,SEC,287.0,7.0,11.0,10.0,8.0,13.0,0.0,87.0,10.0,0.0,431.0,26.0,3060.0,452.0,273.0,10.0,22.0,87.0,719.0,25827.0,0.0,330.0,26.0,429.0,24.0,2069.0,36.0,98.0,64.0,160.0,5129.0,20.0
Texas A&M,2020,SEC,232.0,3.0,8.0,4.0,4.0,10.0,1.0,116.0,4.0,0.0,27.0,2.0,2267.0,301.0,189.0,10.0,20.0,61.0,564.0,20275.0,0.0,96.0,16.0,374.0,21.0,2050.0,27.0,63.0,73.0,133.0,4317.0,8.0
Texas A&M,2021,SEC,251.0,6.0,10.0,3.0,5.0,12.0,1.0,115.0,13.0,1.0,336.0,13.0,2503.0,370.0,208.0,10.0,19.0,76.0,656.0,21740.0,1.0,320.0,30.0,418.0,17.0,2196.0,39.0,89.0,58.0,155.0,4699.0,16.0
Texas A&M,2022,SEC,233.0,4.0,11.0,12.0,19.0,12.0,0.0,13.0,6.0,1.0,510.0,23.0,2633.0,391.0,220.0,4.0,18.0,76.0,589.0,20049.0,0.0,121.0,22.0,367.0,12.0,1707.0,19.0,66.0,55.0,153.0,4340.0,18.0
Texas A&M,2023,SEC,288.0,12.0,20.0,5.0,4.0,13.0,1.0,37.0,10.0,0.0,399.0,23.0,3520.0,426.0,274.0,9.0,24.0,77.0,591.0,24498.0,1.0,324.0,29.0,456.0,23.0,1770.0,42.0,99.0,76.0,175.0,5290.0,15.0
