team,year,conference,expected_wins,win_pct,recent_win_pct,prev_win_pct,elo,fpi,conference_rating,recruiting_rank,recruiting_rating,talent_level,blue_chip,blue_chip_ratio,passing_usage,rushing_usage,usages,totalYards,turnover_margin,total_tds,off_drives,def_drives,off_explode,def_explode,off_ppa,def_ppa,off_success_rate,def_success_rate,coach,career_win_pct,sor,sos
Central Michigan,2019,Mid-American,8.1,0.5714285714285714,0.4576271186440678,0.0833333333333333,1105.0,-16.12,-9.316666666666666,104,137.96,122.275,0.0,0.0,0.992,0.965,0.863,3070.0,-9.0,18.0,163,167,1.03292068270098,1.1743550303324988,-0.0235568164237092,0.100820129755757,0.3444034440344403,0.4023255813953488,Jim McElwain,0.6111111111111112,129.0,111
Central Michigan,2020,Mid-American,2.7,0.5,0.464,0.5714285714285714,1372.0,-7.571,-10.416666666666666,123,130.86,126.86,0.0,0.0,1.0,0.641,0.862,6076.0,-9.0,55.0,178,180,1.2678003711714625,1.2904718764504512,0.2218748953333028,0.1242289032307104,0.4433299899699097,0.4006309148264984,Jim McElwain,0.6046511627906976,85.0,118
Central Michigan,2021,Mid-American,8.3,0.6923076923076923,0.46484375,0.5,1407.0,-3.502,-9.516666666666667,87,146.12,131.54000000000002,0.0,0.0,0.618,0.921,0.768,2525.0,5.0,21.0,82,82,1.262839695822449,1.4473646009317855,0.1711966504304792,0.1756891791009125,0.4178403755868544,0.408352668213457,Jim McElwain,0.5978260869565217,80.0,119
Central Michigan,2022,Mid-American,4.4,0.3333333333333333,0.4758364312267658,0.6923076923076923,1554.0,-2.327,-6.758333333333333,84,144.51,139.8625,0.0,0.0,0.66,0.91,0.698,5779.0,2.0,49.0,155,154,1.3346214094627191,1.2986343260483333,0.2285193420930092,0.1746987808850709,0.4356103023516237,0.4074534161490683,Jim McElwain,0.6095238095238096,53.0,94
Central Michigan,2023,Mid-American,3.8,0.4166666666666667,0.4697508896797153,0.3333333333333333,1306.0,-11.129,-13.075,91,153.75,143.81,0.0,0.0,0.173,0.467,0.306,4407.0,-16.0,38.0,142,144,1.3491630446485186,1.2810227190672785,0.1263582646386571,0.1721500779908354,0.3978779840848806,0.4164490861618799,Jim McElwain,0.5811965811965812,119.0,90
Charlotte,2016,Conference USA,4.9,0.3333333333333333,0.1666666666666666,0.1666666666666666,951.0,-21.441,-9.253846153846151,119,106.83,95.9225,0.0,0.0,1.0,0.712,0.833,4046.0,-13.0,21.0,177,173,1.1059186018340126,1.28566081341036,-0.0132929276270237,0.1734804108146194,0.3676939426142401,0.412472647702407,Brad Lambert,0.1666666666666666,125.0,123
Charlotte,2017,Conference USA,0.5,0.0833333333333333,0.25,0.3333333333333333,1040.0,-17.946,-8.338461538461539,114,111.82,98.69,0.0,0.0,0.584,0.428,0.527,4427.0,7.0,35.0,145,154,1.2730374977528798,1.19477276565614,0.1012485473187535,0.1900054151001328,0.3782129742962056,0.4481525625744934,Brad Lambert,0.25,117.0,116
Charlotte,2018,Conference USA,5.7,0.4166666666666667,0.1944444444444444,0.0833333333333333,954.0,-25.07,-9.953846153846154,111,120.43,106.4975,0.0,0.0,0.904,0.85,0.78,3638.0,-9.0,23.0,156,150,1.2580575299247403,1.0542207317885863,-0.0312535301494469,0.2512529351757018,0.3399734395750332,0.5088495575221239,Brad Lambert,0.1944444444444444,129.0,105
Charlotte,2019,Conference USA,7.5,0.5384615384615384,0.25,0.4166666666666667,1191.0,-14.023,-10.35,132,112.69,112.9425,0.0,0.0,0.9,0.905,0.829,4070.0,1.0,28.0,131,127,1.1990725186385127,1.2666783123481498,0.1282310356097333,0.1202483050731967,0.3971539456662354,0.4057507987220447,Will Healy,0.0,102.0,112
Charlotte,2020,Conference USA,2.2,0.3333333333333333,0.3114754098360656,0.5384615384615384,1315.0,-11.683,-9.228571428571428,88,152.55,124.3725,0.0,0.0,0.91,0.466,0.696,5354.0,-2.0,50.0,155,148,1.3227057898540506,1.2925845159940668,0.2375606987299352,0.241966688032394,0.4434072345390898,0.4447115384615384,Will Healy,0.5384615384615384,87.0,114
