year,team,sor,sos,team_fixed
2013,Michigan,50,41,Michigan
2013,Tennessee,51,11,Tennessee
2013,Boston College,52,53,Boston College
2013,Boise State,53,75,Boise State
2013,Utah State,54,76,Utah State
2013,Ball State,55,123,Ball State
2013,Cincinnati,56,105,Cincinnati
2013,Bowling Green,57,114,Bowling Green
2013,Houston,58,72,Houston
2013,Syracuse,59,54,Syracuse
2013,North Carolina,60,47,North Carolina
2013,Marshall,61,118,Marshall
2013,San Diego State,62,84,San Diego State
2013,Toledo,63,80,Toledo
2013,UT San Antonio,64,82,UT San Antonio
2013,Middle Tennessee,65,96,Middle Tennessee
2013,North Texas,66,119,North Texas
2013,Indiana,67,40,Indiana
2013,Louisiana,68,120,Louisiana
2013,Buffalo,69,108,Buffalo
2013,Maryland,70,68,Maryland
2013,Florida,71,10,Florida
2013,Colorado,72,16,Colorado
2013,Arkansas State,73,112,Arkansas State
2013,Northwestern,74,46,Northwestern
2013,TCU,75,23,TCU
2013,Western Kentucky,76,122,Western Kentucky
2013,Old Dominion,77,124,Old Dominion
2013,San José State,78,71,San José State
2013,Colorado State,79,102,Colorado State
2013,West Virginia,80,39,West Virginia
2013,UNLV,81,95,UNLV
2013,Illinois,82,42,Illinois
2013,Rutgers,83,77,Rutgers
2013,Arkansas,84,12,Arkansas
2013,Florida Atlantic,85,97,Florida Atlantic
2013,Louisiana Monroe,86,100,Louisiana Monroe
2013,SMU,87,67,SMU
2013,Ohio,88,110,Ohio
2013,Iowa State,89,17,Iowa State
2013,Troy,90,104,Troy
2013,Tulane,91,115,Tulane
2013,Kansas,92,29,Kansas
2013,Wake Forest,93,62,Wake Forest
2013,Central Michigan,94,116,Central Michigan
2013,Nevada,95,65,Nevada
2013,Akron,96,87,Akron
2013,South Alabama,97,121,South Alabama
2013,Wyoming,98,99,Wyoming
2013,Virginia,99,15,Virginia
2013,Texas State,100,125,Texas State
2013,Kentucky,101,22,Kentucky
2013,Kent State,102,85,Kent State
2013,California,103,4,California
2013,NC State,104,64,NC State
2013,Connecticut,105,70,Connecticut
2013,Tulsa,106,74,Tulsa
2013,Memphis,107,79,Memphis
2013,South Florida,108,61,South Florida
2013,Purdue,109,20,Purdue
2013,New Mexico,110,90,New Mexico
2013,Army,111,106,Army
2013,Temple,112,78,Temple
2013,Louisiana Tech,113,126,Louisiana Tech
2013,Hawai'i,114,66,Hawai'i
2013,Air Force,115,91,Air Force
2013,UAB,116,88,UAB
2013,New Mexico State,117,94,New Mexico State
2013,Eastern Michigan,118,98,Eastern Michigan
2013,Idaho,119,69,Idaho
2013,UTEP,120,109,UTEP
