,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
620,303172032,Arkansas State,35,home,1,2,41,0,4,3,42,0,3,5,23,2-8,0-1,448,312,27-39,7.8,142,27,5.3,7-75,5,3,2,11:35,Western Kentucky,36,away,3,3,2,0,3,2,71,0,4,4,0,0,2,23,9-22,3-5,388,191,11-27,5.6,237,66,3.6,5-25,1,1,0,24:22,,,
621,303170166,New Mexico State,20,home,1,0,0,0,5,1,170,0,8,8,22,4-14,1-2,366,219,20-40,5.4,150,35,4.3,3-20,3,1,2,19:31,Louisiana Tech,41,away,1,4,3,0,5,1,84,0,5,11,37,0,2,19,6-14,0-0,426,184,19-31,5.9,242,37,6.5,4-30,2,1,1,17:48,41,1,1
622,303170002,Auburn,49,home,0,5,0,0,1,2,112,0,6,7,28,10-14,0-0,463,158,12-16,9.3,315,57,5.5,6-73,1,0,1,20:55,Georgia,31,away,0,1,0,0,1,3,99,0,7,7,25,0,1,17,4-9,1-2,354,307,15-28,9.8,81,24,3.4,10-89,0,0,0,15:45,,,
623,303170057,South Carolina,36,away,1,4,0,0,2,0,18,0,1,12,24,8-16,0-0,395,163,15-22,7.1,239,54,4.4,3-20,0,0,0,24:46,Florida,14,home,0,0,19,0,4,1,213,1,7,2,,,,11,2-14,2-5,226,208,20-39,4.9,35,20,1.8,6-55,2,1,1,11:55,9,0,1
624,303172633,Ole Miss,14,away,0,2,22,0,6,0,148,0,8,2,14,2-12,0-1,295,114,10-24,4.1,196,39,5.0,6-72,5,1,4,17:16,Tennessee,52,home,1,2,-12,0,3,3,47,0,1,10,95,2,4,20,7-16,0-0,441,341,18-35,9.2,118,28,4.2,6-45,0,0,0,18:20,,,
625,303170096,Vanderbilt,20,away,0,1,0,0,4,1,138,0,6,8,19,7-18,0-1,400,234,17-39,5.1,202,42,4.8,7-61,1,1,0,18:29,Kentucky,38,home,1,4,19,0,6,1,40,0,2,8,,,,19,7-15,0-2,580,239,16-24,10.0,341,43,7.9,8-85,0,0,0,17:49,,,
626,303170333,Mississippi State,10,away,1,0,3,0,3,1,100,0,6,4,17,9-18,1-1,299,176,12-23,6.5,149,49,3.0,7-49,2,0,2,19:16,Alabama,30,home,0,1,36,0,4,2,60,0,3,12,12,0,2,19,4-12,0-0,452,284,14-23,12.0,175,36,4.9,4-24,2,1,1,17:24,0,0,1
627,303170008,UTEP,21,away,0,1,0,0,1,1,271,1,11,3,16,4-11,0-0,355,252,18-28,8.5,117,25,4.7,7-73,3,1,2,14:15,Arkansas,58,home,1,3,50,0,3,5,88,0,4,10,11,0,2,31,8-10,0-0,577,258,23-31,8.1,326,41,8.0,5-34,0,0,0,22:04,,,
628,303170278,Fresno State,34,home,0,2,2,0,3,2,108,0,5,10,23,6-14,2-3,444,208,16-26,7.5,250,41,6.1,3-14,2,2,0,18:55,Nevada,35,away,2,5,,,,0,160,0,6,5,,,,18,7-15,1-2,416,175,16-26,6.6,245,38,6.4,5-43,1,0,1,17:05,0,0,1
629,303170023,San José State,34,home,1,2,0,0,1,2,103,0,6,10,21,2-10,0-0,449,331,19-37,8.9,118,21,5.6,8-60,2,1,1,13:00,Utah State,38,away,1,4,5,0,3,1,139,0,7,8,0,0,1,31,11-17,2-2,520,274,20-29,8.9,261,63,4.1,4-24,3,1,2,23:00,0,0,2
630,303170099,Louisiana Monroe,0,away,0,0,7,0,2,0,170,0,8,,10,1-12,1-4,190,84,10-22,3.0,123,38,3.2,5-45,5,2,3,19:20,LSU,51,home,2,4,35,0,4,0,19,0,1,15,128,1,3,17,2-12,2-2,275,111,8-22,4.3,180,39,4.6,3-15,0,0,0,17:08,,,
631,303140189,Bowling Green,21,home,3,2,13,0,3,1,60,0,3,3,11,3-12,1-3,220,199,17-29,6.1,44,27,1.6,5-45,3,1,2,16:30,Miami (OH),24,away,1,2,-3,0,4,1,50,0,4,6,0,0,2,20,7-14,0-0,377,246,19-25,8.8,156,37,4.2,10-72,3,3,0,20:57,,,
632,303172309,Army,45,away,1,6,4,0,1,0,82,0,4,9,20,9-17,2-3,382,149,9-10,14.9,233,62,3.8,2-10,0,0,0,22:57,Kent State,28,home,0,2,36,0,2,2,146,0,6,4,,,,19,5-9,0-1,410,226,13-25,9.0,185,30,6.2,6-41,4,1,3,13:23,71,0,2
633,303132459,Northern Illinois,65,home,0,7,8,0,2,1,149,1,5,11,28,8-12,0-1,584,170,11-16,10.1,422,54,7.8,5-37,0,0,0,22:31,Toledo,30,away,0,2,0,0,1,2,226,0,9,4,,,,20,2-11,0-1,380,206,18-38,4.9,194,26,7.5,8-92,1,0,1,13:38,0,0,1
