,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_fumblesRecovered,team2_totalFumbles,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
1261,401540297,Brown,21,away,2,1,18,0,1,3,,,,1,1,29:13,0,0,0,4-45,3.2,33,104,5.5,31-48,265,369,1-2,8-18,24,Columbia,14,home,0,6,0,2,2,26,0,2,2,,,,0,,30:47,0,0,0,7-64,3.7,35,128,5.5,19-32,176,304,0-2,8-17,17,,,,,,,,,,,,,59,0,5
1262,401540577,Stony Brook,20,home,0,1,126,0,6,8,49,1,1,0,2,27:22,0,2,2,8-67,2.4,25,59,6.5,21-32,208,267,1-1,7-14,15,Albany,38,away,1,4,0,1,4,127,0,3,8,,,,2,0,32:38,1,0,1,6-65,4.9,37,183,8.8,20-28,247,430,0-0,10-13,25,,,,,,,,,,,,,,,
1263,401540415,Richmond,38,home,3,2,86,0,5,8,,,,0,,32:37,1,0,1,3-35,6.0,39,235,6.6,21-28,185,420,2-2,3-11,21,Elon,24,away,1,4,0,1,2,121,0,7,6,0,0,1,0,,27:23,0,0,0,9-75,3.2,28,90,8.5,19-33,281,371,0-2,5-13,17,,,,,,,,,,,,,12,0,1
1264,401540580,Towson,10,away,1,0,66,0,3,4,0,0,1,1,2,18:58,0,0,0,4-47,6.6,24,158,2.5,10-21,53,211,1-2,1-10,9,Villanova,33,home,1,24,0,2,3,18,0,2,7,,,,0,2,41:02,1,1,2,11-87,5.2,49,255,12.0,16-25,300,555,1-2,6-12,28,,,,,,,,,,,,,15,0,2
1265,401540233,Sacramento State,41,home,2,3,146,0,6,11,30,0,2,0,,30:23,1,0,1,5-38,6.1,37,225,12.0,17-26,313,538,0-0,6-12,23,Cal Poly,30,away,1,,,,2,82,0,4,12,26,0,1,0,,29:37,2,0,2,3-23,3.2,14,45,8.4,38-59,494,539,2-3,2-12,24,,,,,,,,,,,,,16,0,2
1266,401540257,Idaho State,14,home,0,2,64,0,2,2,10,0,1,0,3,27:49,2,2,4,4-35,3.2,24,77,5.9,33-56,333,410,2-4,6-18,19,UC Davis,21,away,3,10,0,1,0,40,0,2,3,15,0,2,2,0,32:11,1,0,1,7-53,7.2,37,268,5.3,14-24,126,394,0-0,3-12,17,,,,,,,,,,,,,14,0,2
1267,401540277,Northern Arizona,28,home,2,2,,,,4,40,0,1,0,,29:25,0,0,0,8-76,5.5,41,227,8.0,20-25,201,428,1-2,7-13,19,Northern Colorado,7,away,0,7,0,2,1,22,0,1,1,,,,0,1,30:35,1,0,1,1-5,2.0,34,68,5.2,21-34,177,245,1-3,8-18,15,,,,,,,,,,,,,36,0,2
1268,401540242,Montana State,57,home,3,4,,,,9,0,0,1,1,0,26:25,0,0,0,5-65,7.5,34,255,14.5,15-19,276,531,1-1,5-11,15,Eastern Washington,14,away,0,14,0,2,2,11,0,1,2,,,,0,2,27:40,2,1,3,3-22,2.0,32,63,8.1,30-41,331,394,1-2,4-16,19,,,,,,,,,,,,,,,
1269,401540264,Portland State,10,home,0,1,47,0,4,4,,,,0,,25:23,0,0,0,6-51,3.2,29,93,9.0,12-18,162,255,0-0,4-11,11,Montana,34,away,4,0,0,2,0,31,0,2,10,,,,0,,34:37,0,0,0,9-70,4.7,49,231,8.9,19-29,258,489,2-2,9-16,28,,,,,,,,,,,,,,,
1270,401525887,Houston,14,home,0,2,11,0,1,2,,,,1,0,23:05,3,0,3,3-25,6.0,23,139,3.6,16-28,102,241,0-1,6-13,12,Cincinnati,24,away,2,4,0,1,1,,,,6,45,0,3,0,1,36:55,0,1,1,2-8,4.3,48,204,7.1,17-23,164,368,0-2,7-13,22,9,0,46,4,4,1,4,0,30,1,2,4,7,0,1
