,id,team1,team1_pts,team1_home_away,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_possessionTime,team1_interceptions,team1_fumblesLost,team1_turnovers,team1_totalPenaltiesYards,team1_yardsPerRushAttempt,team1_rushingAttempts,team1_rushingYards,team1_yardsPerPass,team1_completionAttempts,team1_netPassingYards,team1_totalYards,team1_fourthDownEff,team1_thirdDownEff,team1_firstDowns,team2,team2_pts,team2_home_away,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_possessionTime,team2_interceptions,team2_fumblesLost,team2_turnovers,team2_totalPenaltiesYards,team2_yardsPerRushAttempt,team2_rushingAttempts,team2_rushingYards,team2_yardsPerPass,team2_completionAttempts,team2_netPassingYards,team2_totalYards,team2_fourthDownEff,team2_thirdDownEff,team2_firstDowns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team1_totalFumbles,team2_totalFumbles
465,401249427,Washington State,13,away,7,0,30,3,0,2,0,1,1,25,0,2,35:33,2,1,3,3-15,2.7,27,73,4.9,26-39,190,263,2-3,5-13,20,USC,38,home,6,0,40,4,0,2,1,0,5,,,,8,36,0,2,24:27,0,0,0,5-50,0.3,20,5,8.5,26-33,282,287,1-1,6-11,15,1,,,,,,,13,0,2,,
466,401265703,Louisiana Tech,42,away,7,0,42,4,2,2,0,4,2,117,0,6,36:19,1,0,1,4-33,3.7,50,183,5.1,19-31,158,341,3-3,8-17,24,North Texas,31,home,7,0,47,2,2,2,0,1,3,128,0,6,7,19,0,1,23:41,1,0,1,11-82,3.8,41,155,7.7,17-30,231,386,1-4,6-14,19,6,6,0,1,,,,0,0,1,,
467,401236034,West Virginia,6,away,2,0,41,0,0,1,0,0,0,128,0,7,28:09,0,0,0,7-65,2.2,25,54,5.1,21-41,209,263,1-3,7-17,16,Iowa State,42,home,8,0,33,3,4,5,0,3,3,18,0,2,6,,,,31:22,0,0,0,6-65,5.4,44,236,10.7,20-23,247,483,2-2,8-12,26,6,,,,10,0,1,-3,0,1,,
468,401237514,BYU,17,away,1,0,40,1,0,3,1,1,1,89,0,4,22:09,1,1,2,3-20,6.3,26,165,7.5,19-32,240,405,0-1,4-10,21,Coastal Carolina,22,home,5,0,27,1,5,2,1,3,0,,,,4,42,0,1,37:51,0,1,1,4-40,5.2,54,281,5.7,10-15,85,366,1-1,6-13,22,5,,,,10,0,2,5,0,1,,
469,401236037,Oklahoma State,22,away,9,1,42,2,2,3,4,1,1,81,0,3,28:09,1,0,1,5-50,3.7,40,148,7.5,16-36,270,418,0-1,7-19,16,TCU,29,home,5,0,40,0,2,7,0,3,1,0,0,1,3,0,0,1,31:51,1,4,5,4-40,4.5,52,234,10.2,12-26,265,499,2-2,7-17,21,4,0,0,1,-1,0,2,-3,0,2,,
470,401236035,Kansas,13,away,2,0,52,1,0,2,3,1,0,34,0,2,34:23,0,0,0,5-51,2.5,44,112,3.5,17-29,102,214,1-5,4-18,14,Texas Tech,16,home,12,0,55,4,3,4,0,1,0,28,0,1,10,,,,25:37,1,3,4,7-80,6.8,43,293,4.5,15-26,117,410,2-2,3-15,17,7,0,0,1,-2,0,1,52,0,4,,
471,401236036,Texas,69,away,7,0,53,1,0,3,1,7,2,164,0,4,24:20,0,0,0,4-55,10.1,33,334,10.1,20-27,274,608,0-0,3-8,26,Kansas State,31,home,5,0,41,1,0,3,0,2,2,111,0,5,7,,,,34:24,2,1,3,3-21,6.0,46,274,6.4,16-27,174,448,0-1,4-11,24,15,21,0,2,10,0,1,,,,,
472,401234656,Boston College,32,away,2,0,25,2,0,2,0,0,4,59,0,4,27:50,3,0,3,9-75,-0.4,20,-7,11.3,32-46,520,513,1-2,5-12,23,Virginia,43,home,6,0,34,4,0,4,0,4,1,119,0,3,13,6,0,3,32:10,1,0,1,10-95,6.2,42,262,10.6,19-27,287,549,0-0,4-12,24,6,12,0,1,17,0,2,14,0,4,,
473,401234659,Georgia Tech,13,away,7,0,34,2,4,4,0,1,0,,,,31:53,0,0,0,12-111,5.1,51,261,5.6,13-27,151,412,0-3,10-19,23,NC State,23,home,11,0,38,3,5,6,0,2,0,82,0,4,11,,,,28:07,0,0,0,7-78,2.8,32,88,8.6,23-36,309,397,0-1,5-12,24,7,,,,0,0,1,17,0,3,,
474,401237153,South Carolina,18,away,1,0,38,0,1,2,0,1,1,75,0,2,25:49,1,3,4,6-75,6.8,44,297,4.0,12-27,107,404,2-2,4-14,21,Kentucky,41,home,9,0,38,1,3,6,3,5,0,29,0,2,11,0,0,1,34:11,0,0,0,5-60,6.5,45,291,7.7,17-26,201,492,2-3,5-14,24,4,,,,2,0,1,,,,,
