,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
74,272510194,Akron,2,away,3,0,9,0,2,0,,3,2-16,0-0,69,88,17-32,2.1,3,19,0.2,5-40,1,1,0,16:20,Ohio State,20,home,1,0,31,0,9,2,8,,,,18,7-16,1-1,363,174,20-31,5.4,196,41,4.8,5-36,5,3,2,27:58,0,0,2,,,,,,
75,272510135,Miami (OH),35,away,1,1,10,0,1,3,11,26,3-17,1-1,577,418,30-54,7.7,159,34,4.7,6-36,3,1,2,16:58,Minnesota,41,home,1,2,15,0,4,4,5,0,0,2,29,9-19,0-1,577,271,26-40,6.8,306,53,5.8,7-47,2,1,1,19:42,0,0,1,,,,,,
76,272512509,Eastern Illinois,6,away,0,0,,,,0,6,11,3-15,1-3,236,153,19-38,4.0,83,22,3.8,6-30,1,1,0,14:18,Purdue,52,home,1,1,34,0,2,6,10,,,,34,10-18,2-2,533,361,39-51,7.0,178,38,4.7,4-30,0,0,0,22:22,,,,191,0,9,,,
77,272512711,Western Michigan,27,home,0,0,0,0,1,3,3,19,9-19,2-4,384,400,29-54,6.6,30,30,1.0,12-111,7,5,2,16:26,Indiana,37,away,5,0,41,0,3,3,13,18,0,2,22,8-21,1-3,442,226,20-40,5.5,221,53,4.2,11-81,1,0,1,20:00,5,0,1,,,,,,
78,272510077,Nevada,31,away,0,2,1,0,5,2,7,30,5-17,3-3,529,373,22-35,9.6,192,51,3.8,7-60,2,1,1,20:55,Northwestern,36,home,1,1,5,0,2,3,10,38,0,1,18,4-15,1-2,431,238,20-45,5.0,204,26,7.8,3-35,0,0,0,15:45,,,,,,,,,
79,272510026,BYU,17,away,0,0,2,0,3,2,5,23,6-16,0-1,435,412,30-53,7.4,44,25,1.8,11-84,4,3,1,19:09,UCLA,27,home,3,2,54,0,6,0,9,56,1,1,15,2-12,0-0,236,144,13-28,4.5,110,37,3.0,4-30,1,0,1,17:31,12,0,1,,,,,,
80,272510264,Boise State,10,away,1,1,8,0,5,0,4,21,6-18,3-4,388,291,29-47,6.1,103,32,3.2,9-63,4,1,3,17:48,Washington,24,home,1,1,5,0,3,2,6,5,0,3,16,8-17,0-0,342,216,14-26,8.0,133,40,3.3,5-35,2,1,1,18:35,0,0,1,,,,,,
81,272510009,Colorado,14,away,2,0,17,0,4,1,2,13,4-18,0-4,204,188,17-47,3.7,32,26,1.2,7-45,2,1,1,15:31,Arizona State,33,home,1,1,28,0,5,3,3,26,1,1,22,5-18,2-3,407,289,19-37,7.3,138,44,3.1,12-136,3,2,1,24:32,35,1,1,,,,,,
82,272510036,Colorado State,28,home,0,3,7,0,4,1,4,22,6-13,0-1,458,319,21-30,10.0,157,42,3.7,4-28,4,2,2,19:29,California,34,away,2,3,24,0,3,0,10,30,0,2,14,6-14,0-0,391,153,19-29,5.0,245,31,7.9,6-49,0,0,0,16:25,,,,,,,,,
83,272510012,Northern Arizona,24,away,0,3,0,0,1,0,6,11,4-16,1-1,243,187,22-41,4.6,56,28,2.0,15-152,0,0,0,16:11,Arizona,45,home,0,0,80,1,3,5,12,,,,30,7-15,0-1,490,323,26-48,6.1,195,33,5.9,7-70,1,0,1,20:10,36,0,1,71,0,4,,,
