,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns
654,263220239,Baylor,10,home,4,0,0,4,11,3-16,1-4,140,249,22-45,4.2,-48,20,-2.4,3-15,2,0,2,18:27,Oklahoma,36,away,0,1,10,0,6,2,4,17,6-11,0-0,414,178,12-19,9.4,236,41,5.8,5-45,5,4,1,18:37,0,0,1,94,1,2,,,,15,0,1,,,
655,263222005,Air Force,14,home,0,1,1,2,17,9-16,0-0,334,220,16-22,9.9,116,41,2.8,4-20,0,0,0,16:42,Utah,17,away,0,2,11,0,5,0,5,21,12-18,0-1,355,245,24-38,6.2,119,35,3.4,7-60,0,0,0,19:23,,,,,,,,,,,,,,,
656,263220252,New Mexico,17,away,0,0,1,5,24,5-13,1-3,418,259,22-39,6.3,173,31,5.6,2-15,3,1,2,17:12,BYU,42,home,1,2,11,0,3,4,6,29,9-12,0-1,653,471,28-42,11.0,189,32,5.9,4-45,2,0,2,18:20,0,0,1,33,0,2,,,,100,1,2,,,
657,263222439,UNLV,26,home,0,0,2,4,12,4-15,2-4,221,174,19-37,4.4,59,23,2.6,10-75,3,2,1,15:37,Wyoming,34,away,2,3,23,0,2,2,4,19,3-12,0-1,286,229,19-27,7.3,89,39,2.3,5-54,2,0,2,20:00,59,1,5,15,0,1,,,,0,0,2,,,
658,263222628,TCU,52,home,0,2,5,10,30,8-12,0-1,624,351,22-26,13.4,275,49,5.6,5-35,1,1,0,20:02,San Diego State,0,away,1,0,10,0,2,0,0,6,1-13,1-1,87,76,11-25,2.2,31,24,1.3,2-10,2,0,2,16:38,29,0,4,,,,,,,50,0,2,,,
659,263222579,South Carolina,52,home,0,2,5,10,25,7-9,0-1,545,399,22-29,13.5,154,28,5.5,5-46,1,1,0,17:37,Middle Tennessee,7,away,1,0,,,,1,1,12,4-12,0-0,200,143,6-19,6.3,81,32,2.5,10-73,0,0,0,19:31,53,0,7,,,,,,,,,,,,
660,263220249,Florida Atlantic,17,away,2,1,0,5,17,7-15,1-2,239,107,12-25,4.3,132,38,3.5,4-27,0,0,0,18:10,North Texas,16,home,0,1,-5,0,4,0,10,17,4-10,1-1,338,91,11-18,4.7,254,40,6.3,4-43,5,2,3,18:30,,,,,,,,,,42,1,3,,,
661,263220103,Boston College,38,home,2,0,2,8,22,5-11,0-0,373,249,19-29,8.6,124,30,4.1,11-85,0,0,0,17:08,Maryland,16,away,0,0,0,0,2,1,10,22,5-13,1-2,331,258,28-43,6.0,73,29,2.5,4-34,4,2,2,19:32,0,0,1,,,,,,,42,1,2,,,
662,263220097,South Florida,8,away,1,0,1,0,14,3-15,0-0,286,275,15-32,7.4,49,30,1.6,6-47,1,0,1,17:38,Louisville,31,home,0,2,18,0,4,2,7,20,6-14,0-0,446,274,19-33,8.3,172,36,4.8,9-80,1,1,0,19:02,4,0,3,0,0,1,,,,,,,,,
663,263222655,Tulane,10,home,1,0,1,4,18,6-15,0-2,295,291,26-43,6.2,28,26,1.1,4-25,2,0,2,17:43,UCF,9,away,0,0,24,0,4,0,9,14,4-16,1-3,304,237,22-35,6.6,74,32,2.3,5-39,1,1,0,18:57,13,0,2,0,0,2,,,,,,,,,
664,263220235,Houston,23,away,1,0,2,11,22,7-16,0-0,371,214,19-24,6.9,205,49,4.2,13-105,2,2,0,20:24,Memphis,20,home,2,1,39,0,3,0,8,17,7-16,0-0,249,125,13-27,4.2,135,35,3.9,6-51,3,1,2,16:26,2,0,1,,,,,,,17,0,2,,,
665,263222572,UAB,20,away,3,1,1,2,12,4-13,0-1,237,189,9-18,8.6,82,38,2.2,11-91,2,0,2,19:32,Southern Mississippi,25,home,0,1,0,0,6,1,5,19,5-12,0-0,340,143,8-18,7.1,212,44,4.8,6-55,4,3,1,16:13,14,0,6,48,1,2,,,,0,0,1,,,
666,263220242,Rice,18,home,0,1,1,4,24,5-15,4-5,458,289,23-45,6.2,179,37,4.8,2-10,2,0,2,19:54,East Carolina,17,away,0,1,,,,1,5,17,5-10,0-0,301,93,10-17,4.9,218,35,6.2,5-21,2,0,2,16:46,31,0,2,3,0,2,,,,20,0,2,,,
667,263222567,SMU,34,home,1,2,2,8,21,4-10,0-0,369,202,11-19,10.0,179,34,5.3,7-57,0,0,0,15:50,Tulsa,24,away,0,2,0,0,1,1,6,20,5-12,0-1,356,236,22-30,7.7,126,36,3.5,3-16,1,1,0,21:05,15,0,3,,,,,,,,,,,,
668,263220278,Fresno State,34,home,0,2,2,10,22,4-11,0-0,399,109,14-23,4.7,290,42,6.9,1-6,2,0,2,19:55,Idaho,0,away,0,0,19,0,3,0,,11,2-14,0-1,199,128,10-30,3.1,107,30,3.6,9-79,1,0,1,16:14,33,0,8,0,0,2,,,,14,0,1,,,
