,id,team1,team1_pts,team1_home_away,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_fumblesRecovered,team1_totalFumbles,team1_tacklesForLoss,team1_defensiveTDs,team1_tackles,team1_sacks,team1_qbHurries,team1_passesDeflected,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_fumblesRecovered,team2_totalFumbles,team2_tacklesForLoss,team2_defensiveTDs,team2_tackles,team2_sacks,team2_qbHurries,team2_passesDeflected,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns
766,401012351,Florida State,14,home,1,,,,1,17,0,1,2,,,,0,,6,0,41,1,6,4,16,1-14,2-3,293,154,14-30,5.1,139,35,4.0,10-60,3,1,2,23:58,Florida,41,away,2,3,,,,11,1,0,8,0,33,5,2,0,24,5-15,0-2,536,254,16-27,9.4,282,52,5.4,7-49,0,0,0,36:02,44,0,2,30,0,5
767,401012357,Vanderbilt,38,home,2,,,,3,21,0,1,8,13,0,1,0,,2,0,16,1,4,10,29,5-12,2-2,467,367,31-35,10.5,100,43,2.3,3-43,0,0,0,41:05,Tennessee,13,away,1,1,,,,1,0,,8,0,45,3,1,1,12,3-11,0-0,242,139,13-33,4.2,103,14,7.4,3-25,1,0,1,16:57,,,,25,0,1
768,401012355,Clemson,56,home,7,,,,1,52,0,3,8,3,0,1,0,1,4,0,34,3,8,2,38,8-13,2-2,744,393,27-37,10.6,351,55,6.4,8-79,1,1,0,34:51,South Carolina,35,away,0,5,54,0,3,5,1,0,1,0,49,0,0,0,29,7-14,1-3,600,510,32-50,10.2,90,25,3.6,7-48,1,0,1,25:08,,,,,,
769,401012353,Louisville,10,home,1,,,,0,38,0,2,4,22,0,2,0,,7,0,43,2,0,2,10,2-11,0-2,305,79,8-16,4.9,226,30,7.5,12-134,0,0,0,26:03,Kentucky,56,away,5,3,82,0,3,8,0,,10,0,30,2,1,3,29,4-8,3-3,604,261,17-24,10.9,343,44,7.8,6-63,2,0,2,33:02,,,,0,0,1
770,401012350,Auburn,21,away,1,6,0,3,2,65,0,3,3,,,,1,,2,0,27,1,1,1,19,9-19,0-1,283,153,15-32,4.8,130,43,3.0,8-88,1,0,1,34:35,Alabama,52,home,1,6,,,,10,0,,4,0,26,2,7,3,24,5-11,0-1,498,377,26-33,11.4,121,27,4.5,7-82,1,1,0,25:25,8,0,1,0,0,1
771,401012349,Mississippi State,35,away,4,0,0,1,1,49,0,2,5,9,0,2,1,0,10,0,22,4,4,3,22,6-13,0-0,420,111,11-18,6.2,309,51,6.1,3-35,0,0,0,36:12,Ole Miss,3,home,0,0,10,0,1,3,0,,4,0,31,1,4,4,13,0-11,1-2,189,152,13-25,6.1,37,29,1.3,3-24,3,1,2,23:48,,,,,,
772,401012354,Missouri,38,home,2,15,0,2,2,,,,8,0,0,1,1,1,8,0,46,5,2,6,17,8-17,1-2,408,227,17-27,8.4,181,42,4.3,5-49,1,1,0,28:48,Arkansas,0,away,0,0,38,0,2,,1,4,3,0,52,0,3,2,12,3-16,1-4,187,135,10-25,5.4,52,39,1.3,4-18,2,1,1,31:12,,,,3,0,1
773,401012356,Texas A&M,74,home,3,-1,0,1,6,,,,14,,,,1,2,12,0,44,6,1,6,33,11-22,2-3,521,287,23-51,5.6,234,56,4.2,3-24,1,1,0,30:01,LSU,72,away,4,4,26,0,1,14,1,1,13,1,48,2,6,7,31,10-20,1-1,496,281,26-39,7.2,215,51,4.2,10-70,1,1,0,28:30,,,,-1,0,3
774,401020785,Ball State,21,away,2,,,,1,-2,0,1,4,0,0,1,0,1,4,0,47,2,1,3,22,6-14,0-2,382,239,23-36,6.6,143,34,4.2,3-30,2,0,2,25:42,Miami (OH),42,home,5,1,65,0,3,6,0,,6,0,48,4,5,2,22,7-13,1-1,523,159,11-17,9.4,364,53,6.9,3-40,1,0,1,34:18,17,0,2,,,
775,401020787,Akron,28,away,0,,,,4,68,0,6,4,0,0,1,0,,7,0,39,2,3,0,23,3-9,0-0,388,356,24-41,8.7,32,21,1.5,9-81,1,0,1,27:07,Ohio,49,home,6,0,20,0,1,7,0,,6,1,33,2,4,5,25,5-11,1-1,468,87,5-14,6.2,381,51,7.5,8-95,1,0,1,32:48,0,0,1,37,1,2
