,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns
434,312952655,Tulane,17,home,0,1,1,115,0,5,5,0,0,1,26,5-14,0-2,459,377,31-50,7.5,82,31,2.6,3-10,3,1,2,20:06,Memphis,33,away,1,2,30,0,3,2,57,0,2,3,90,1,2,15,4-13,1-1,289,225,14-26,8.2,76,33,2.3,3-18,1,0,1,16:34,66,0,6
435,312952572,SMU,3,away,1,0,0,99,0,5,3,2,0,1,15,4-13,0-1,330,180,16-32,5.4,157,24,6.5,9-55,2,0,2,17:18,Southern Mississippi,27,home,0,1,22,0,4,1,52,0,2,9,41,1,2,27,8-14,1-1,453,266,27-37,7.2,187,42,4.5,5-54,2,1,1,16:16,,,
436,312950242,Rice,20,home,1,1,1,97,0,5,8,,,,22,8-16,0-0,353,269,22-42,6.0,103,35,2.9,4-35,4,2,2,17:35,Tulsa,38,away,2,2,4,0,3,3,84,0,4,8,42,0,2,21,9-17,0-1,473,318,21-34,9.4,155,42,3.7,5-46,1,1,0,19:05,9,0,3
437,312950248,Marshall,28,away,0,1,3,129,0,6,4,,,,28,9-17,1-3,506,318,29-39,7.9,197,47,4.2,3-30,2,0,2,25:35,Houston,63,home,0,1,0,0,2,7,91,0,4,9,89,1,2,25,5-8,0-1,621,479,29-37,12.9,142,20,7.1,7-58,0,0,0,11:05,-4,0,2
438,312950189,Bowling Green,13,home,0,0,1,63,0,2,7,,,,14,2-15,2-4,318,223,20-34,6.0,114,34,3.4,2-20,0,0,0,16:00,Temple,10,away,0,1,46,0,4,0,75,0,3,4,,,,13,3-14,0-1,284,88,7-13,5.1,218,49,4.4,12-97,0,0,0,20:09,27,0,4
439,312950098,Louisiana,23,away,0,1,2,110,0,8,5,11,0,1,22,6-14,2-3,540,435,32-52,8.1,121,21,5.8,7-66,2,1,1,14:12,Western Kentucky,42,home,1,5,0,0,2,1,109,0,5,6,0,0,1,22,6-10,0-0,507,273,16-19,14.4,234,44,5.3,8-59,1,0,1,21:09,13,0,3
440,312950142,Oklahoma State,45,away,1,3,3,107,0,5,9,22,0,3,27,9-18,0-0,533,355,33-50,6.8,195,31,6.3,3-15,1,0,1,17:01,Missouri,24,home,0,2,48,0,3,1,38,0,2,6,54,0,1,26,6-15,1-2,463,224,15-28,7.7,248,52,4.8,1-11,4,1,3,19:36,-2,0,4
441,312950066,Iowa State,17,home,1,2,0,115,0,5,5,,,,17,6-18,0-1,305,191,16-40,4.5,125,33,3.8,8-50,1,0,1,16:57,Texas A&M,33,away,0,1,27,0,5,2,51,0,3,15,16,0,1,30,5-16,0-1,510,279,24-43,6.1,247,47,5.3,7-70,1,1,0,26:11,3,0,3
442,312950127,Michigan State,37,home,0,1,3,134,0,7,3,6,0,2,18,8-16,1-1,399,317,22-31,9.4,109,32,3.4,0-0,1,1,0,18:49,Wisconsin,31,away,1,2,41,0,3,2,83,0,4,7,,,,23,4-9,0-0,443,235,14-21,10.6,220,41,5.4,5-40,2,0,2,17:27,36,1,3
443,312950077,Northwestern,24,home,1,2,1,71,0,4,6,,,,23,7-15,1-2,406,376,28-39,8.0,94,37,2.5,3-20,1,0,1,19:44,Penn State,34,away,0,2,0,0,3,2,140,0,5,10,63,0,1,20,5-13,1-1,389,208,17-27,7.1,197,38,5.2,4-38,1,1,0,16:56,0,0,2
444,312952509,Illinois,14,away,1,2,0,15,0,1,2,,,,21,6-17,1-2,366,266,26-41,6.0,121,33,3.7,8-50,1,0,1,19:07,Purdue,21,home,0,1,-2,0,3,2,,,,3,0,0,1,15,5-14,0-0,304,190,16-25,7.1,126,42,3.0,6-30,1,1,0,17:33,-5,0,5
445,312952294,Iowa,45,home,0,2,4,144,0,4,9,,,,22,6-8,0-0,456,284,12-16,15.8,203,42,4.8,7-57,0,0,0,18:07,Indiana,24,away,0,2,0,0,1,1,116,0,8,6,,,,24,7-14,2-3,414,205,16-24,8.2,217,47,4.6,12-114,0,0,0,18:30,-5,0,2
446,312950135,Minnesota,14,home,0,2,0,195,0,8,2,,,,11,7-15,1-2,254,122,9-18,6.8,132,39,3.4,5-55,1,1,0,17:28,Nebraska,41,away,1,3,0,0,2,1,33,0,2,11,,,,27,8-17,3-3,515,169,14-23,7.3,346,56,6.2,5-43,0,0,0,19:12,,,
447,312950328,Utah State,17,home,0,2,0,107,0,4,5,,,,16,5-16,0-2,294,154,16-24,5.3,166,46,3.6,6-70,1,0,1,18:52,Louisiana Tech,24,away,0,2,14,0,4,0,57,0,2,6,22,1,1,14,5-16,1-2,232,167,15-29,5.0,86,40,2.2,7-55,0,0,0,17:18,-3,0,5
448,312950087,USC,31,away,2,0,3,41,0,2,7,6,0,1,29,7-15,1-2,443,224,24-35,6.4,219,44,5.0,2-25,0,0,0,24:21,Notre Dame,17,home,0,1,0,0,1,0,197,1,6,5,,,,17,5-13,1-1,267,226,27-43,5.3,41,14,2.9,5-48,3,2,1,12:07,38,0,4
449,312950333,Alabama,37,home,1,3,1,36,0,4,13,29,0,1,19,7-14,1-2,437,298,18-28,10.5,143,38,3.8,5-38,1,0,1,19:38,Tennessee,6,away,0,0,11,0,2,0,149,0,7,6,19,0,1,6,2-14,2-5,155,71,9-18,3.5,92,32,2.9,4-25,2,1,1,17:02,4,0,4
450,312950096,Jacksonville State,14,away,2,0,1,138,0,3,2,,,,16,2-11,0-1,270,120,11-25,4.5,158,33,4.8,7-65,2,0,2,16:01,Kentucky,38,home,0,2,10,0,3,2,30,0,1,8,37,0,2,22,6-13,1-1,445,105,10-16,6.6,340,55,6.2,3-35,2,2,0,20:39,16,0,2
451,312950238,Army,21,away,0,2,0,110,0,7,1,73,1,2,15,4-12,1-2,288,35,1-6,3.0,270,51,5.3,4-36,4,4,0,15:43,Vanderbilt,44,home,4,5,4,0,2,1,104,0,4,8,,,,25,8-14,0-1,530,186,10-27,6.9,344,54,6.4,7-70,2,0,2,20:55,2,0,2
452,312950145,Arkansas,29,away,0,3,0,84,0,3,9,46,0,1,19,4-13,2-3,438,236,13-28,8.3,206,29,7.1,2-4,1,1,0,13:36,Ole Miss,24,home,1,1,0,0,3,2,58,0,4,6,,,,24,4-13,2-2,370,255,18-30,7.3,151,46,3.3,12-85,1,0,1,22:16,7,0,4
453,312952440,Fresno State,38,away,0,2,3,182,0,8,8,,,,25,7-12,0-0,522,317,20-37,8.5,207,33,6.3,3-35,2,2,0,18:14,Nevada,45,home,2,2,92,1,2,1,123,0,6,13,,,,29,9-16,1-1,581,321,19-27,11.6,268,48,5.6,8-89,0,0,0,19:39,-2,0,2
454,312950062,Hawai'i,45,home,1,4,2,108,0,5,3,,,,32,8-14,0-0,503,306,26-41,6.7,227,37,6.1,2-10,1,1,0,20:40,New Mexico State,34,away,1,2,0,0,3,3,164,0,8,2,,,,19,5-16,2-3,432,318,20-37,7.7,148,32,4.6,8-63,1,1,0,15:16,56,1,10
455,312950099,LSU,45,home,1,2,3,48,0,2,9,28,1,1,23,3-8,0-0,393,225,16-23,9.5,174,36,4.8,5-60,0,0,0,18:26,Auburn,10,away,0,1,2,0,3,0,135,0,7,4,,,,18,4-12,0-0,248,217,14-24,6.7,87,34,2.6,7-51,2,1,1,17:34,14,0,5
456,312952649,Toledo,49,home,1,4,2,7,0,3,7,10,0,2,23,7-14,2-2,497,228,18-28,8.1,269,45,6.0,5-41,0,0,0,21:02,Miami (OH),28,away,0,1,0,0,1,3,98,0,5,4,,,,18,3-13,2-3,408,452,28-43,9.2,14,21,0.7,11-80,3,1,2,15:30,19,0,5
457,312952006,Akron,20,home,2,0,2,110,0,6,8,0,0,1,18,4-15,2-2,249,176,17-33,5.1,81,35,2.3,6-56,1,1,0,18:13,Ohio,37,away,1,2,-3,0,4,2,45,0,5,13,,,,30,10-14,0-0,556,344,23-31,11.1,212,49,4.3,8-100,3,2,1,18:03,0,0,1
458,312952199,Eastern Michigan,14,home,0,1,1,17,0,1,2,,,,16,5-13,0-1,349,170,6-9,16.0,205,50,4.1,7-61,1,1,0,19:54,Western Michigan,10,away,1,1,0,0,4,0,27,0,2,4,,,,19,3-13,1-2,329,208,25-35,5.7,131,30,4.4,4-20,0,0,0,16:30,16,0,4
459,312952050,Central Michigan,27,away,0,0,3,108,0,5,9,0,0,1,26,8-14,0-0,569,445,30-45,9.7,133,29,4.6,8-85,3,2,1,20:27,Ball State,31,home,2,1,18,0,3,3,135,0,5,7,0,0,1,24,6-13,1-1,455,325,27-38,8.6,130,31,4.2,7-55,1,0,1,15:48,1,0,2
460,312952084,Buffalo,30,home,0,1,3,94,0,6,6,,,,33,7-18,4-4,572,404,35-54,7.5,168,38,4.4,7-70,5,3,2,23:24,Northern Illinois,31,away,3,4,-2,0,2,0,52,0,4,7,0,0,2,15,7-19,2-2,328,150,11-26,5.8,178,47,3.8,7-67,0,0,0,17:33,-1,0,3
461,312950259,Virginia Tech,30,home,1,2,1,26,0,2,12,0,0,1,24,7-15,1-1,482,268,22-36,7.4,214,40,5.3,3-13,0,0,0,20:06,Boston College,14,away,0,1,0,0,2,1,98,0,4,2,,,,15,6-14,1-1,272,194,13-30,6.0,91,29,3.1,1-15,2,1,1,16:00,31,0,6
462,312950228,North Carolina,38,away,1,2,2,290,1,10,8,,,,19,2-12,1-2,418,330,20-35,9.0,102,28,3.6,9-62,6,3,3,17:31,Clemson,59,home,3,1,6,0,4,5,154,0,7,11,39,1,3,26,8-18,0-0,450,397,28-48,7.8,77,36,2.1,3-32,1,1,0,18:19,9,0,4
463,312950258,Virginia,14,home,0,0,2,123,0,4,2,0,0,2,12,5-17,0-3,249,127,11-35,3.6,124,33,3.8,4-30,4,1,3,24:05,NC State,28,away,1,0,0,0,2,3,62,0,3,4,29,1,3,14,7-19,0-1,345,231,20-36,6.4,114,38,3.0,3-30,2,0,2,19:33,10,0,7
464,312950150,Duke,23,home,0,2,0,105,0,4,11,,,,25,10-22,4-5,372,237,29-47,4.8,148,44,3.4,6-50,1,0,1,22:58,Wake Forest,24,away,0,1,-1,0,2,2,93,0,5,6,36,0,1,13,2-12,2-2,305,236,15-25,8.6,90,26,3.5,5-47,0,0,0,13:20,25,0,7
465,312952390,Georgia Tech,7,away,0,1,0,45,0,3,1,5,0,1,14,8-15,0-2,211,81,7-14,5.5,134,48,2.8,2-10,3,2,1,22:20,Miami,24,home,2,2,-2,0,4,0,48,0,1,6,0,0,1,14,5-14,2-3,262,140,8-23,6.1,122,41,3.0,1-5,1,0,1,13:37,-9,0,1
