,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickReturnYards,team1_kickReturnTDs,team1_kickReturns,team1_kickingPoints,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_passingTDs,team2_kickReturnYards,team2_kickReturnTDs,team2_kickReturns,team2_kickingPoints,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted
317,400763430,TCU,50,home,1,0,4,0,2,6,26,0,1,12,,,,31,5-13,0-0,604,376,22-38,9.9,228,42,5.4,8-84,0,0,0,30:34,Texas,7,away,0,0,1,64,0,4,1,20,6-19,1-3,313,122,13-28,4.4,191,51,3.7,4-40,1,1,0,29:26,0,0,1,,,
318,400763427,Kansas,13,away,0,0,0,0,1,1,97,0,7,1,96,1,2,15,7-18,0-2,288,250,23-37,6.8,38,33,1.2,5-37,1,1,0,28:03,Iowa State,38,home,1,3,2,26,0,1,8,24,5-14,0-0,512,269,27-37,7.3,243,37,6.6,2-10,2,0,2,31:57,8,0,1,,,
319,400787249,Colorado State,18,away,0,1,13,0,2,1,58,0,3,4,,,,24,6-17,3-5,361,253,22-47,5.4,108,30,3.6,12-110,3,2,1,25:57,Utah State,33,home,2,2,1,46,0,3,15,21,2-12,1-1,435,137,12-21,6.5,298,45,6.6,12-125,0,0,0,34:03,9,0,2,0,0,1
320,400787248,Hawai'i,0,away,0,0,11,0,3,0,,,,,,,,12,4-17,0-4,170,88,11-38,2.3,82,30,2.7,7-61,4,1,3,22:27,Boise State,55,home,1,4,3,27,0,1,13,29,6-18,2-2,554,275,20-29,9.5,279,59,4.7,8-80,0,0,0,37:33,73,0,6,5,0,3
321,400787253,Appalachian State,31,home,2,2,,,,1,47,0,2,7,91,1,1,14,0-8,1-2,314,65,3-12,5.4,249,34,7.3,4-30,1,0,1,22:06,Wyoming,13,away,0,1,1,106,0,5,1,18,5-14,1-3,373,155,14-19,8.2,218,51,4.3,7-65,3,2,1,37:54,9,0,2,8,0,1
322,400764876,Navy,33,home,3,3,3,0,1,1,15,0,1,9,0,0,1,14,4-14,3-3,387,117,4-10,11.7,270,51,5.3,7-35,0,0,0,32:30,Air Force,11,away,0,1,0,116,0,5,3,15,5-16,2-3,277,73,5-12,6.1,204,56,3.6,3-25,4,3,1,27:30,15,0,1,,,
323,400787250,San Diego State,21,home,0,1,7,0,2,2,40,0,2,3,,,,19,8-18,2-2,409,104,5-12,8.7,305,60,5.1,5-50,1,1,0,37:21,Fresno State,7,away,1,0,1,19,0,1,1,6,0-12,1-2,89,77,12-25,3.1,12,22,0.5,6-47,0,0,0,22:39,7,0,1,,,
324,400787251,Nevada,17,home,0,1,20,0,1,1,23,0,1,5,0,0,1,24,6-16,0-2,343,202,20-44,4.6,141,35,4.0,6-53,1,0,1,27:29,UNLV,23,away,0,2,0,33,0,3,5,18,4-13,0-0,301,134,13-19,7.1,167,44,3.8,8-76,1,0,1,32:31,8,0,1,52,1,1
325,400763529,Indiana,27,home,2,3,2,0,1,0,71,0,5,9,32,0,1,21,7-22,1-3,402,226,17-36,6.3,176,55,3.2,7-50,0,0,0,34:14,Ohio State,34,away,0,3,1,74,0,3,10,13,2-14,1-1,517,245,18-27,9.1,272,34,8.0,8-109,3,2,1,25:46,76,0,6,,,
326,400763531,Purdue,21,away,0,2,,,,1,76,0,4,3,,,,16,5-13,1-3,301,136,15-31,4.4,165,32,5.2,2-20,3,2,1,22:36,Michigan State,24,home,2,2,1,56,0,3,6,20,5-14,0-1,406,139,13-19,7.3,267,47,5.7,8-51,0,0,0,37:24,,,,0,0,1
327,400763530,Michigan,28,away,0,2,38,0,3,1,21,0,1,8,12,0,3,14,5-17,1-2,378,180,16-33,5.5,198,40,4.9,7-65,3,2,1,34:19,Maryland,0,home,2,0,0,91,0,4,,7,1-18,0-0,105,76,10-36,2.1,29,26,1.1,5-55,3,0,3,25:41,12,0,3,0,0,1
328,400763533,Iowa,10,away,2,0,,,,1,65,0,3,4,15,0,2,14,5-15,1-2,221,77,9-21,3.7,144,40,3.6,6-54,2,1,1,29:14,Wisconsin,6,home,1,0,0,25,0,2,6,21,4-13,0-1,320,234,21-38,6.2,86,34,2.5,8-90,4,2,2,30:46,26,0,3,4,0,1
329,400763532,Northwestern,27,home,1,2,55,0,1,0,,,,9,0,0,1,16,7-17,1-1,312,128,14-19,6.7,184,51,3.6,3-20,0,0,0,34:02,Minnesota,0,away,0,0,0,68,0,4,,11,4-16,0-4,173,99,15-32,3.1,74,33,2.2,2-10,2,1,1,25:58,,,,,,
330,400763528,Illinois,14,home,1,0,40,0,2,2,,,,2,18,0,1,17,7-20,0-2,382,251,23-45,5.6,131,32,4.1,3-35,0,0,0,31:08,Nebraska,13,away,0,1,0,59,0,3,7,12,4-17,0-1,292,105,10-31,3.4,187,34,5.5,6-42,2,1,1,28:52,-1,0,2,,,
331,400763619,UT San Antonio,25,away,1,1,40,0,3,0,56,0,2,5,98,2,4,22,5-18,0-1,335,198,19-32,6.2,137,48,2.9,6-58,1,1,0,34:16,UTEP,6,home,1,0,1,29,0,2,0,14,4-17,1-3,275,216,23-50,4.3,59,22,2.7,2-26,5,1,4,25:44,26,0,3,,,
332,400763617,Western Kentucky,49,away,3,3,12,0,1,4,41,0,2,7,0,0,2,24,5-11,0-0,504,424,29-39,10.9,80,32,2.5,3-20,0,0,0,32:03,Rice,10,home,0,1,0,115,0,7,4,15,4-15,1-1,322,237,16-30,7.9,85,34,2.5,8-70,5,3,2,27:57,13,0,4,,,
333,400757043,Colorado,24,home,0,2,1,0,1,1,24,0,1,6,0,0,1,18,7-17,1-2,308,231,25-42,5.5,77,36,2.1,6-41,3,2,1,30:05,Oregon,41,away,2,3,2,124,0,4,11,27,7-16,0-1,537,176,13-21,8.4,361,60,6.0,4-45,1,0,1,29:55,6,0,1,0,0,1
334,400757041,Arizona,17,away,0,1,,,,1,130,0,7,5,,,,16,8-17,1-2,314,196,17-33,5.9,118,34,3.5,7-55,0,0,0,22:41,Stanford,55,home,0,4,3,108,0,3,13,30,7-11,1-1,570,256,21-23,11.1,314,46,6.8,3-20,0,0,0,37:19,-6,0,5,,,
335,400757044,Washington State,28,away,1,2,,,,2,69,0,3,4,9,0,1,20,9-15,1-2,403,389,35-49,7.9,14,25,0.6,2-13,4,3,1,30:03,California,34,home,3,0,4,87,0,4,2,25,8-14,0-3,469,390,33-45,8.7,79,30,2.6,4-15,2,1,1,29:57,16,0,1,0,0,1
336,400764874,BYU,30,home,0,1,15,0,5,2,51,0,3,12,14,0,2,31,9-16,0-1,539,365,35-54,6.8,174,41,4.2,7-70,3,1,2,35:12,Connecticut,13,away,1,0,1,44,0,3,7,14,3-14,1-2,230,168,14-28,6.0,62,27,2.3,5-43,2,0,2,24:48,,,,26,0,2
337,400757042,Arizona State,38,away,0,2,,,,2,129,0,4,10,0,0,1,25,10-23,1-1,465,273,27-44,6.2,192,46,4.2,4-39,1,0,1,37:47,UCLA,23,home,0,1,2,57,0,2,5,17,3-14,0-1,342,280,22-40,7.0,62,28,2.2,6-49,1,0,1,22:13,-3,0,1,0,0,1
338,400763618,Southern Mississippi,49,home,0,3,14,0,1,4,42,0,2,7,0,0,1,24,6-11,0-0,573,325,27-36,9.0,248,33,7.5,8-87,0,0,0,30:09,North Texas,14,away,0,1,1,77,0,5,2,26,5-18,2-4,386,201,14-32,6.3,185,49,3.8,5-40,1,0,1,29:51,3,0,1,,,
339,400763615,Louisiana,14,away,1,1,-9,0,1,1,63,0,4,2,,,,18,5-13,0-1,331,182,19-37,4.9,149,27,5.5,8-91,3,1,2,27:01,Louisiana Tech,43,home,1,2,2,58,0,3,11,27,6-13,0-0,428,290,20-33,8.8,138,35,3.9,8-76,1,1,0,32:59,20,0,2,50,1,2
340,400763614,Charlotte,3,home,1,0,,,,0,106,0,6,3,,,,16,4-17,1-3,354,131,13-27,4.9,223,44,5.1,4-47,1,0,1,25:34,Temple,37,away,0,2,2,38,0,2,7,18,8-17,1-1,322,116,11-23,5.0,206,45,4.6,2-25,1,1,0,34:26,33,1,2,74,0,1
341,400764875,Memphis,24,away,0,1,31,0,4,2,84,0,2,6,0,0,1,20,8-18,0-0,425,305,20-33,9.2,120,39,3.1,7-75,0,0,0,30:32,South Florida,17,home,0,1,1,39,0,2,5,19,2-13,1-2,377,199,17-26,7.7,178,43,4.1,6-40,1,0,1,29:28,,,,,,
342,400764877,SMU,23,home,0,0,-2,0,1,3,24,0,1,5,4,0,2,21,2-14,1-2,329,289,20-38,7.6,40,30,1.3,4-35,0,0,0,27:13,East Carolina,49,away,0,4,3,49,0,2,7,26,10-18,0-1,555,249,19-26,9.6,306,54,5.7,5-45,2,0,2,32:47,85,0,8,,,
