,id,team1,team1_pts,team1_home_away,team1_fumblesRecovered,team1_rushingTDs,team1_puntReturnYards,team1_puntReturnTDs,team1_puntReturns,team1_passingTDs,team1_kickingPoints,team1_firstDowns,team1_thirdDownEff,team1_fourthDownEff,team1_totalYards,team1_netPassingYards,team1_completionAttempts,team1_yardsPerPass,team1_rushingYards,team1_rushingAttempts,team1_yardsPerRushAttempt,team1_totalPenaltiesYards,team1_turnovers,team1_fumblesLost,team1_interceptions,team1_possessionTime,team2,team2_pts,team2_home_away,team2_fumblesRecovered,team2_rushingTDs,team2_puntReturnYards,team2_puntReturnTDs,team2_puntReturns,team2_passingTDs,team2_kickingPoints,team2_interceptionYards,team2_interceptionTDs,team2_passesIntercepted,team2_firstDowns,team2_thirdDownEff,team2_fourthDownEff,team2_totalYards,team2_netPassingYards,team2_completionAttempts,team2_yardsPerPass,team2_rushingYards,team2_rushingAttempts,team2_yardsPerRushAttempt,team2_totalPenaltiesYards,team2_turnovers,team2_fumblesLost,team2_interceptions,team2_possessionTime,team1_interceptionYards,team1_interceptionTDs,team1_passesIntercepted
544,243182509,Purdue,24,home,1,0,12,0,5,3,6,24,9-20,1-1,384,282,29-42,6.3,120,43,2.8,0-0,1,0,1,21:47,Ohio State,17,away,0,1,6,0,1,1,5,14,0,1,11,4-15,0-0,338,205,14-29,6.6,146,30,4.9,0-0,4,1,3,14:54,21,0,3
545,243180258,Miami,31,away,0,1,134,1,6,2,7,20,7-17,1-2,380,187,18-33,5.4,203,40,5.1,0-0,0,0,0,20:35,Virginia,21,home,0,2,3,0,4,1,,,,,19,5-12,0-0,315,106,10-25,3.8,221,36,6.1,0-0,2,0,2,16:04,0,0,2
546,243180030,Arizona,9,away,3,0,4,0,2,,3,14,2-12,1-1,255,192,15-32,5.2,90,25,3.6,0-0,2,0,2,16:12,USC,49,home,0,4,1,0,4,3,7,38,0,2,25,7-14,1-2,585,376,31-40,9.2,216,38,5.7,0-0,3,3,0,20:29,,,
547,243182483,Oregon,26,home,1,1,79,1,2,1,8,15,2-11,1-2,337,201,15-29,6.6,145,29,5.0,0-0,2,0,2,15:02,UCLA,34,away,0,2,35,0,2,1,10,53,1,2,22,10-18,0-1,442,235,12-22,9.8,227,56,4.1,0-0,1,1,0,19:29,,,
548,243180264,California,42,away,1,3,0,0,1,2,6,22,7-12,0-0,479,197,13-24,7.3,304,44,6.9,0-0,2,0,2,18:53,Washington,12,home,0,0,0,0,1,1,6,3,0,2,19,8-17,1-2,412,350,20-44,7.5,84,33,2.5,0-0,4,1,3,17:47,58,0,3
549,243180009,Washington State,28,away,1,2,91,1,3,1,4,20,2-14,0-1,377,256,20-37,6.4,141,35,4.0,0-0,2,1,1,15:27,Arizona State,45,home,1,1,70,0,5,5,9,2,0,1,25,7-19,1-1,507,376,27-43,8.5,141,43,3.3,0-0,1,1,0,21:12,,,
550,243180024,Oregon State,24,away,0,0,23,0,6,3,6,20,7-17,0-0,370,368,29-42,8.0,36,38,0.9,0-0,4,0,4,22:46,Stanford,19,home,0,0,79,0,4,,7,36,0,4,16,4-17,0-2,248,277,17-45,5.5,1,21,0.0,0-0,1,0,1,13:48,0,0,1
551,243180059,Connecticut,10,away,1,1,29,0,3,0,4,18,3-17,2-3,225,216,28-49,4.2,20,24,0.8,0-0,0,0,0,16:12,Georgia Tech,30,home,0,0,37,0,7,2,12,,,,19,5-16,0-1,410,296,22-38,7.6,122,37,3.3,0-0,1,1,0,20:30,,,
552,243180087,Notre Dame,38,home,1,2,103,0,4,3,8,18,6-14,0-1,438,265,15-26,10.0,179,34,5.3,0-0,2,0,2,16:09,Pittsburgh,41,away,0,0,0,0,1,5,11,35,0,2,23,8-17,1-2,432,349,26-42,8.0,98,38,2.6,0-0,1,1,0,20:30,,,
553,243180277,Boston College,36,away,1,0,118,2,5,2,12,14,8-18,0-0,243,200,18-30,5.4,81,36,2.3,0-0,0,0,0,15:43,West Virginia,17,home,0,1,24,0,4,1,5,,,,21,6-22,2-5,462,243,21-37,6.1,238,50,4.8,0-0,3,1,2,20:57,8,0,2
